seed,N,D,num_clusters,lengthscale_mult,lengthscale,kernel_var,noise_var,method,proj,ctr,feature_dist,rmse,test_kl,test_mnll,test_mean_mse,test_var_mse,cluster_time_ms,test_feature_time_ms
0.0,10000.0,8.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,rff,gaussian,0.0,None,0.6436877846717834,7069.1435546875,1.1445624828338623,0.20364505052566528,0.00020480704552028328,3.0967980000013995,0.5783889999975145
0.0,10000.0,8.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,rff,srht,0.0,None,0.6585801839828491,7850.78271484375,1.192859172821045,0.2259618192911148,0.00020625970500987023,3.0967980000013995,0.9141070000282525
0.0,10000.0,8.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,rademacher,0.0,"[1, 1, 1, 2, 2]",0.50007164478302,1599.725341796875,0.7370007634162903,0.04578235372900963,5.2482329920167103e-05,3.0967980000013995,3159.3333869990943
0.0,10000.0,8.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,rademacher,1.0,"[1, 1, 1]",0.5151455998420715,2079.31494140625,0.7730744481086731,0.06054577976465225,4.686360989580862e-05,3.0967980000013995,2174.0398459990047
0.0,10000.0,8.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,srht,0.0,"[1, 1, 1, 2, 2]",0.5226659774780273,2326.3759765625,0.7931646704673767,0.06625217199325562,6.132470298325643e-05,3.0967980000013995,6240.193752999218
0.0,10000.0,8.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,srht,1.0,"[1, 1, 1]",0.542775571346283,2908.4326171875,0.8442324995994568,0.08373825252056122,5.931984560447745e-05,3.0967980000013995,3482.757490001177
0.0,10000.0,16.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,rff,gaussian,0.0,None,0.6012650728225708,5249.55859375,1.0134785175323486,0.153015598654747,0.00020115879306104034,3.0967980000013995,0.4383579999966969
0.0,10000.0,16.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,rff,srht,0.0,None,0.6585801839828491,7850.78271484375,1.1928590536117554,0.2259618192911148,0.00020625970500987023,3.0967980000013995,1.0584970000309113
0.0,10000.0,16.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,rademacher,0.0,"[1, 1, 1, 2, 2, 3, 5]",0.5189726948738098,2169.40771484375,0.7838846445083618,0.06189605966210365,6.043149551260285e-05,3.0967980000013995,4309.9194760017635
0.0,10000.0,16.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,rademacher,1.0,"[1, 1, 1, 1, 1, 1, 1]",0.5251210331916809,2514.86669921875,0.7990962862968445,0.07210920751094818,5.7771998399402946e-05,3.0967980000013995,4457.821823998474
0.0,10000.0,16.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,srht,0.0,"[1, 1, 1, 2, 2, 3, 5]",0.5270177125930786,2444.70751953125,0.8044483065605164,0.06984689831733704,5.968776167719625e-05,3.0967980000013995,10920.325232999854
0.0,10000.0,16.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,srht,1.0,"[1, 1, 1, 1, 1, 1, 1]",0.5322356820106506,2779.187255859375,0.8177945613861084,0.07928203046321869,6.295843195402995e-05,3.0967980000013995,9657.418878000386
0.0,10000.0,32.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,rff,gaussian,0.0,None,0.5706164836883545,4023.56396484375,0.924064040184021,0.11827711015939713,0.00019290597992949188,3.0967980000013995,0.45764700001882375
0.0,10000.0,32.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,rff,srht,0.0,None,0.6585801839828491,7850.7822265625,1.1928590536117554,0.2259618192911148,0.00020625970500987023,3.0967980000013995,1.8548680000094464
0.0,10000.0,32.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,rademacher,0.0,"[1, 2, 2, 3, 4, 7, 12]",0.524546205997467,2470.7763671875,0.798093318939209,0.07040321826934814,4.738277493743226e-05,3.0967980000013995,4206.257795000968
0.0,10000.0,32.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,rademacher,1.0,"[1, 1, 1, 2, 2, 3, 5]",0.5308548808097839,2690.522705078125,0.8145484328269958,0.07655321061611176,5.590921864495613e-05,3.0967980000013995,4342.2338780008
0.0,10000.0,32.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,srht,0.0,"[1, 2, 2, 3, 4, 7, 12]",0.5086953043937683,1768.4404296875,0.7576783895492554,0.0506494902074337,2.9556524168583564e-05,3.0967980000013995,10013.801531000854
0.0,10000.0,32.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,srht,1.0,"[1, 1, 2, 2, 2, 3, 4]",0.5158114433288574,2180.22216796875,0.7760077118873596,0.06223734840750694,5.8309473388362676e-05,3.0967980000013995,9705.160792999526
0.0,10000.0,64.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,rff,gaussian,0.0,None,0.5002031922340393,1554.5960693359375,0.7380157113075256,0.04483224079012871,0.00017336857854388654,3.0967980000013995,0.47058400002697454
0.0,10000.0,64.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,rff,srht,0.0,None,0.6585801839828491,7850.78271484375,1.192859172821045,0.2259618192911148,0.00020625970500987023,3.0967980000013995,3.556758999934573
0.0,10000.0,64.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,rademacher,0.0,"[2, 3, 4, 6, 9, 15, 24]",0.4856278896331787,1059.74755859375,0.7018827795982361,0.03015693835914135,3.5625012969831005e-05,3.0967980000013995,4113.657578001153
0.0,10000.0,64.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,rademacher,1.0,"[1, 2, 3, 4, 5, 7, 9]",0.4866144061088562,1084.038330078125,0.7046111226081848,0.03119395114481449,3.152907083858736e-05,3.0967980000013995,4129.043279998996
0.0,10000.0,64.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,srht,0.0,"[2, 3, 4, 6, 9, 15, 24]",0.48460766673088074,1059.958984375,0.6990594267845154,0.030432119965553284,1.1398007700336166e-05,3.0967980000013995,9810.794393001204
0.0,10000.0,64.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,srht,1.0,"[2, 2, 3, 4, 5, 6, 9]",0.49289873242378235,1295.94384765625,0.7182194590568542,0.03727321699261665,1.156695816462161e-05,3.0967980000013995,9633.84731799829
0.0,10000.0,128.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,rff,gaussian,0.0,None,0.489990770816803,1282.74658203125,0.7126057147979736,0.03675235062837601,0.00012913519458379596,3.0967980000013995,0.7293219999837675
0.0,10000.0,128.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,rff,srht,0.0,None,0.6585801839828491,7850.78271484375,1.192859172821045,0.2259618192911148,0.00020625970500987023,3.0967980000013995,5.220912000027056
0.0,10000.0,128.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,rademacher,0.0,"[4, 6, 9, 12, 19, 29, 48]",0.4856523871421814,999.25146484375,0.7022476196289062,0.028520453721284866,2.768243030004669e-05,3.0967980000013995,4168.469670001173
0.0,10000.0,128.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,rademacher,1.0,"[3, 5, 6, 7, 10, 13, 19]",0.4866692125797272,1158.740234375,0.704207181930542,0.0330265648663044,1.3544741705118213e-05,3.0967980000013995,4103.127156001165
0.0,10000.0,128.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,srht,0.0,"[2, 6, 8, 12, 19, 30, 50]",0.47040849924087524,687.607177734375,0.6660881042480469,0.019685491919517517,6.043217126716627e-06,3.0967980000013995,10106.267652001516
0.0,10000.0,128.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,srht,1.0,"[2, 5, 5, 8, 9, 14, 20]",0.48109540343284607,988.3555908203125,0.6911709904670715,0.028385743498802185,1.8834487491403706e-05,3.0967980000013995,9716.82222500146
0.0,10000.0,256.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,rff,gaussian,0.0,None,0.4789510667324066,835.3602294921875,0.6861459612846375,0.023746510967612267,7.221483974717557e-05,3.0967980000013995,1.0708690000456045
0.0,10000.0,256.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,rff,srht,0.0,None,0.6585801839828491,7850.78271484375,1.1928590536117554,0.2259618192911148,0.00020625970500987023,3.0967980000013995,6.4423370000668
0.0,10000.0,256.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,rademacher,0.0,"[7, 13, 18, 25, 37, 59, 96]",0.4651602804660797,566.3301391601562,0.6545225977897644,0.01604490913450718,7.294684678527119e-07,3.0967980000013995,4105.685501999801
0.0,10000.0,256.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,rademacher,1.0,"[5, 9, 12, 15, 19, 27, 40]",0.4667295515537262,607.20947265625,0.6578869223594666,0.01738455891609192,4.7387225095008034e-06,3.0967980000013995,4016.1661819996652
0.0,10000.0,256.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,srht,0.0,"[2, 12, 17, 25, 38, 61, 100]",0.46805521845817566,682.4991455078125,0.6607780456542969,0.01952543295919895,9.079350320462254e-07,3.0967980000013995,10163.386418000084
0.0,10000.0,256.0,1722.0,0.125,0.24899518489837646,0.5055619478225708,0.20189650356769562,maclaurin,srht,1.0,"[2, 10, 11, 16, 20, 28, 40]",0.4895278811454773,1205.179443359375,0.7107259631156921,0.0344977080821991,5.181793767405907e-06,3.0967980000013995,9675.380203000257
