seed,N,D,num_clusters,lengthscale_mult,lengthscale,kernel_var,noise_var,method,proj,ctr,feature_dist,rmse,test_kl,test_mnll,test_mean_mse,test_var_mse
0.0,10000.0,100.0,,0.1,0.24403412640094757,0.5063005685806274,0.20189648866653442,rff,gaussian,0.0,None,0.48323550820350647,1687.6446533203125,0.6964190602302551,0.04810011014342308,0.00015685670950915664
0.0,10000.0,100.0,2348,0.1,0.24403412640094757,0.5063005685806274,0.20189648866653442,maclaurin,rademacher,0.0,"[2, 3, 5, 9, 15, 25, 40]",0.4870092272758484,1526.428466796875,0.7051355838775635,0.04334551468491554,1.9772494852077216e-05
0.0,10000.0,100.0,2369,0.1,0.24403412640094757,0.5063005685806274,0.20189648866653442,maclaurin,rademacher,1.0,"[2, 2, 3, 5, 8, 12, 17]",0.4979685842990875,2108.107177734375,0.7315191030502319,0.06018806993961334,3.117970118182711e-05
0.0,10000.0,100.0,2364,0.1,0.24403412640094757,0.5063005685806274,0.20189648866653442,maclaurin,srht,0.0,"[2, 3, 4, 8, 15, 26, 41]",0.472893089056015,1275.916259765625,0.6723001599311829,0.03617231175303459,1.7122680219472386e-05
0.0,10000.0,100.0,2355,0.1,0.24403412640094757,0.5063005685806274,0.20189648866653442,maclaurin,srht,1.0,"[2, 2, 3, 5, 8, 12, 17]",0.47474923729896545,1341.327880859375,0.6756426095962524,0.038310930132865906,2.2706166419084184e-05
0.0,10000.0,100.0,,0.2,0.24403412640094757,0.5063005685806274,0.20189648866653442,rff,gaussian,0.0,None,0.48335686326026917,1578.536865234375,0.6967636346817017,0.045298244804143906,0.00016013382992241532
0.0,10000.0,100.0,1265,0.2,0.24403412640094757,0.5063005685806274,0.20189648866653442,maclaurin,rademacher,0.0,"[2, 3, 5, 9, 15, 25, 40]",0.4799503982067108,1428.23779296875,0.6889523863792419,0.040508877485990524,1.5090922715899069e-05
0.0,10000.0,100.0,1265,0.2,0.24403412640094757,0.5063005685806274,0.20189648866653442,maclaurin,rademacher,1.0,"[2, 2, 3, 5, 8, 12, 17]",0.48689794540405273,1612.496337890625,0.7031365633010864,0.0471050925552845,1.78210211743135e-05
0.0,10000.0,100.0,1264,0.2,0.24403412640094757,0.5063005685806274,0.20189648866653442,maclaurin,srht,0.0,"[2, 3, 4, 8, 15, 26, 41]",0.4782039225101471,1440.459228515625,0.6848496794700623,0.04066025838255882,2.2108324628788978e-05
0.0,10000.0,100.0,1267,0.2,0.24403412640094757,0.5063005685806274,0.20189648866653442,maclaurin,srht,1.0,"[2, 2, 3, 5, 8, 12, 17]",0.4726978838443756,1203.89306640625,0.6718648076057434,0.03417952358722687,1.6700521427992499e-06
0.0,10000.0,100.0,,0.3,0.24403412640094757,0.5063005685806274,0.20189648866653442,rff,gaussian,0.0,None,0.48774388432502747,1754.6553955078125,0.7072300314903259,0.05021604150533676,0.00016124114335980266
0.0,10000.0,100.0,886,0.3,0.24403412640094757,0.5063005685806274,0.20189648866653442,maclaurin,rademacher,0.0,"[2, 3, 5, 9, 15, 25, 40]",0.4821760356426239,1421.3919677734375,0.6940239667892456,0.04023745656013489,1.537978278065566e-05
0.0,10000.0,100.0,886,0.3,0.24403412640094757,0.5063005685806274,0.20189648866653442,maclaurin,rademacher,1.0,"[2, 2, 3, 5, 8, 12, 17]",0.49720868468284607,1988.195068359375,0.7291123270988464,0.0568973571062088,2.291602868353948e-05
0.0,10000.0,100.0,888,0.3,0.24403412640094757,0.5063005685806274,0.20189648866653442,maclaurin,srht,0.0,"[2, 3, 4, 8, 15, 26, 41]",0.47050946950912476,1251.519775390625,0.6669201850891113,0.035539187490940094,6.3903439695423e-06
0.0,10000.0,100.0,887,0.3,0.24403412640094757,0.5063005685806274,0.20189648866653442,maclaurin,srht,1.0,"[2, 2, 3, 5, 8, 12, 17]",0.4771016538143158,1350.8271484375,0.6812869310379028,0.038619350641965866,2.4558548830100335e-06
0.0,10000.0,100.0,,0.4,0.24403412640094757,0.5063005685806274,0.20189648866653442,rff,gaussian,0.0,None,0.49256426095962524,1935.84228515625,0.7183428406715393,0.05597326532006264,0.0001563450350658968
0.0,10000.0,100.0,642,0.4,0.24403412640094757,0.5063005685806274,0.20189648866653442,maclaurin,rademacher,0.0,"[2, 3, 5, 9, 15, 25, 40]",0.4752761721611023,1274.2755126953125,0.6779067516326904,0.03606763854622841,5.449518539535347e-06
0.0,10000.0,100.0,642,0.4,0.24403412640094757,0.5063005685806274,0.20189648866653442,maclaurin,rademacher,1.0,"[2, 2, 3, 5, 8, 12, 17]",0.4793589115142822,1397.31689453125,0.686924934387207,0.03990045189857483,1.69906943483511e-05
0.0,10000.0,100.0,646,0.4,0.24403412640094757,0.5063005685806274,0.20189648866653442,maclaurin,srht,0.0,"[2, 3, 4, 8, 15, 26, 41]",0.4733201265335083,1340.1815185546875,0.6734932065010071,0.037860289216041565,1.860170414147433e-05
0.0,10000.0,100.0,642,0.4,0.24403412640094757,0.5063005685806274,0.20189648866653442,maclaurin,srht,1.0,"[2, 2, 3, 5, 8, 12, 17]",0.4705737829208374,1164.237060546875,0.6662417054176331,0.03317694365978241,1.9260633052908815e-06
0.0,10000.0,100.0,,0.5,0.24403412640094757,0.5063005685806274,0.20189648866653442,rff,gaussian,0.0,None,0.5024060606956482,2207.16015625,0.7417138814926147,0.06448263674974442,0.00015847582835704088
