D,bias,comp,comp_real,dataset,degree,feature_dist,feature_time,full_cov,hier,kernel_len,kernel_var,method,noise_var,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
40.0,0.0,0.0,0.0,Concrete,0.0,,0.0,0.0,0.0,0.7689599394798279,2116.97900390625,rff,32.0,0.0,gaussian,0.0,13.11205005645752,325.18572998046875,252.8625946044922,135.0447540283203,5.234874725341797,214866.5
40.0,0.0,0.0,0.0,Concrete,0.0,,0.0,0.0,0.0,0.7689599394798279,2116.97900390625,rff,32.0,0.0,srht,0.0,14.872649192810059,345.6747131347656,252.8625946044922,173.96929931640625,5.948829650878906,214826.46875
40.0,0.0,1.0,0.0,Concrete,0.0,"[2, 4, 7, 11, 15]",0.0,0.0,0.0,0.7689599394798279,2116.97900390625,maclaurin,32.0,0.0,rademacher,0.0,13.566627502441406,66.54523468017578,252.8625946044922,141.89111328125,3.7159907817840576,31659.728515625
40.0,0.0,1.0,0.0,Concrete,0.0,"[2, 4, 7, 11, 15]",0.0,0.0,0.0,0.7689599394798279,2116.97900390625,maclaurin,32.0,0.0,srht,0.0,9.600571632385254,56.63570785522461,252.8625946044922,76.20726776123047,3.577636957168579,22712.763671875
40.0,0.0,0.0,0.0,Concrete,0.0,"[2, 3, 5, 8, 10, 11]",0.0,0.0,0.0,0.7689599394798279,2116.97900390625,maclaurin,32.0,0.0,countsketch_scatter,0.0,12.711743354797363,83.4692611694336,252.8625946044922,153.70716857910156,3.7450475692749023,46464.046875
48.0,0.0,0.0,0.0,Concrete,0.0,,0.0,0.0,0.0,0.7689599394798279,2116.97900390625,rff,32.0,0.0,gaussian,0.0,15.63537883758545,333.43438720703125,252.8625946044922,180.1237335205078,6.286938667297363,214778.3125
48.0,0.0,0.0,0.0,Concrete,0.0,,0.0,0.0,0.0,0.7689599394798279,2116.97900390625,rff,32.0,0.0,srht,0.0,16.392112731933594,419.47802734375,252.8625946044922,212.82608032226562,6.640514850616455,214749.90625
48.0,0.0,1.0,0.0,Concrete,0.0,"[2, 5, 8, 13, 19]",0.0,0.0,0.0,0.7689599394798279,2116.97900390625,maclaurin,32.0,0.0,rademacher,0.0,9.525699615478516,47.0807991027832,252.8625946044922,63.008201599121094,3.542177438735962,20024.396484375
48.0,0.0,1.0,0.0,Concrete,0.0,"[2, 5, 8, 13, 19]",0.0,0.0,0.0,0.7689599394798279,2116.97900390625,maclaurin,32.0,0.0,srht,0.0,12.65466594696045,48.12371826171875,252.8625946044922,111.19667053222656,3.6026480197906494,18617.75
48.0,0.0,0.0,0.0,Concrete,0.0,"[2, 3, 5, 7, 9, 10, 11]",0.0,0.0,0.0,0.7689599394798279,2116.97900390625,maclaurin,32.0,0.0,countsketch_scatter,0.0,12.750368118286133,73.86244201660156,252.8625946044922,120.84938049316406,3.6931650638580322,28474.75
56.0,0.0,0.0,0.0,Concrete,0.0,,0.0,0.0,0.0,0.7689599394798279,2116.97900390625,rff,32.0,0.0,gaussian,0.0,12.812113761901855,291.4046630859375,252.8625946044922,132.77444458007812,5.0857954025268555,214558.65625
56.0,0.0,0.0,0.0,Concrete,0.0,,0.0,0.0,0.0,0.7689599394798279,2116.97900390625,rff,32.0,0.0,srht,0.0,15.141374588012695,335.587158203125,252.8625946044922,178.71194458007812,5.990030765533447,214367.6875
56.0,0.0,1.0,0.0,Concrete,0.0,"[2, 5, 10, 16, 22]",0.0,0.0,0.0,0.7689599394798279,2116.97900390625,maclaurin,32.0,0.0,rademacher,0.0,8.935294151306152,44.49018096923828,252.8625946044922,96.90867614746094,3.4773056507110596,21899.052734375
56.0,0.0,1.0,0.0,Concrete,0.0,"[2, 6, 9, 15, 23]",0.0,0.0,0.0,0.7689599394798279,2116.97900390625,maclaurin,32.0,0.0,srht,0.0,9.047584533691406,38.846046447753906,252.8625946044922,98.15325164794922,3.431300163269043,19399.662109375
