D,bias,comp,comp_real,dataset,degree,feature_dist,feature_time,full_cov,hier,kernel_len,kernel_var,method,noise_var,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
80.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,gaussian,0.0,9.589446067810059,101.96993255615234,95.19200134277344,31.29353904724121,11.0916166305542,8094.552734375
80.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,srht,0.0,9.649518966674805,99.93256378173828,95.19200134277344,27.799680709838867,11.16772747039795,8094.15625
80.0,0.0,1.0,0.0,Boston,0.0,"[2, 4, 9, 14, 21, 29]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,rademacher,0.0,7.539116859436035,6.30253267288208,95.19200134277344,10.10734748840332,3.2794830799102783,228.72935485839844
80.0,0.0,1.0,0.0,Boston,0.0,"[2, 5, 9, 14, 20, 29]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,srht,0.0,7.035655975341797,4.988572120666504,95.19200134277344,8.667069435119629,3.2083919048309326,183.58441162109375
80.0,0.0,0.0,0.0,Boston,0.0,"[1, 3, 5, 6, 8, 10, 11, 11, 12, 12]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,countsketch_scatter,0.0,7.047900676727295,17.135143280029297,95.19200134277344,23.973249435424805,3.3449933528900146,803.682373046875
96.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,gaussian,0.0,9.604765892028809,99.21623229980469,95.19200134277344,37.579383850097656,10.663649559020996,8053.73779296875
96.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,srht,0.0,8.92737865447998,91.61398315429688,95.19200134277344,24.207115173339844,9.457756042480469,8053.25537109375
96.0,0.0,1.0,0.0,Boston,0.0,"[1, 4, 7, 11, 17, 23, 32]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,rademacher,0.0,6.871871471405029,8.376099586486816,95.19200134277344,7.090096473693848,3.2431204319000244,394.4056091308594
96.0,0.0,1.0,0.0,Boston,0.0,"[1, 4, 7, 12, 16, 23, 32]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,srht,0.0,6.236684799194336,7.932668685913086,95.19200134277344,8.36427116394043,3.131155252456665,438.75836181640625
96.0,0.0,0.0,0.0,Boston,0.0,"[2, 3, 5, 8, 10, 11, 13, 14, 14, 15]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,countsketch_scatter,0.0,7.417689800262451,13.136982917785645,95.19200134277344,17.265050888061523,3.307035207748413,552.9171752929688
112.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,gaussian,0.0,9.468121528625488,89.00213623046875,95.19200134277344,30.71242332458496,9.911128997802734,8004.60546875
112.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,srht,0.0,10.73525619506836,95.61190795898438,95.19200134277344,44.27613830566406,12.259675979614258,8011.79248046875
112.0,0.0,1.0,0.0,Boston,0.0,"[1, 4, 8, 14, 20, 27, 37]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,rademacher,0.0,6.6069536209106445,7.57799768447876,95.19200134277344,6.557286739349365,3.177403211593628,342.056884765625
112.0,0.0,1.0,0.0,Boston,0.0,"[2, 4, 8, 14, 19, 27, 37]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,srht,0.0,6.471625328063965,8.91751480102539,95.19200134277344,15.307954788208008,3.160231113433838,391.4815368652344
112.0,0.0,0.0,0.0,Boston,0.0,"[2, 4, 7, 9, 11, 13, 15, 16, 17, 17]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,countsketch_scatter,0.0,7.198777675628662,8.417259216308594,95.19200134277344,11.173358917236328,3.269578218460083,344.25732421875
128.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,gaussian,0.0,9.157756805419922,82.4797134399414,95.19200134277344,22.412616729736328,9.007340431213379,7952.404296875
128.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,srht,0.0,8.572949409484863,83.68550872802734,95.19200134277344,21.644502639770508,8.193702697753906,7964.80078125
128.0,0.0,1.0,0.0,Boston,0.0,"[2, 5, 10, 15, 22, 31, 42]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,rademacher,0.0,6.237595558166504,4.60805082321167,95.19200134277344,5.173837184906006,3.120396375656128,221.0421600341797
128.0,0.0,1.0,0.0,Boston,0.0,"[2, 5, 10, 15, 22, 31, 42]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,srht,0.0,6.88883113861084,5.792236328125,95.19200134277344,5.490326404571533,3.1954686641693115,242.05894470214844
128.0,0.0,0.0,0.0,Boston,0.0,"[2, 5, 7, 10, 13, 15, 17, 19, 19, 20]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,countsketch_scatter,0.0,6.870246887207031,9.117338180541992,95.19200134277344,13.963387489318848,3.2815613746643066,356.36798095703125
144.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,gaussian,0.0,8.814568519592285,80.2503662109375,95.19200134277344,27.301511764526367,8.232016563415527,7908.7255859375
144.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,srht,0.0,8.796250343322754,87.09358215332031,95.19200134277344,34.55439376831055,8.284255981445312,7909.970703125
144.0,0.0,1.0,0.0,Boston,0.0,"[2, 5, 11, 17, 25, 35, 48]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,rademacher,0.0,6.984137058258057,3.9239020347595215,95.19200134277344,4.253437519073486,3.200976848602295,184.70523071289062
144.0,0.0,1.0,0.0,Boston,0.0,"[2, 6, 11, 17, 25, 35, 47]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,srht,0.0,6.239285945892334,4.035693168640137,95.19200134277344,4.721322536468506,3.1494901180267334,201.52987670898438
144.0,0.0,0.0,0.0,Boston,0.0,"[2, 5, 8, 12, 15, 17, 19, 21, 22, 22]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,countsketch_scatter,0.0,6.281567096710205,6.093552112579346,95.19200134277344,9.342550277709961,3.121128797531128,286.1341552734375
160.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,gaussian,0.0,7.864691257476807,70.0771484375,95.19200134277344,17.925329208374023,6.413533687591553,7830.50439453125
160.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,srht,0.0,9.437628746032715,78.57776641845703,95.19200134277344,33.644065856933594,8.80198860168457,7851.72314453125
160.0,0.0,1.0,0.0,Boston,0.0,"[2, 6, 12, 19, 28, 39, 53]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,rademacher,0.0,6.7917094230651855,3.109200954437256,95.19200134277344,3.5251896381378174,3.151977777481079,176.42587280273438
160.0,0.0,1.0,0.0,Boston,0.0,"[2, 6, 12, 19, 28, 39, 53]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,srht,0.0,6.336533069610596,4.269529819488525,95.19200134277344,5.880103588104248,3.1394426822662354,188.5002899169922
160.0,0.0,0.0,0.0,Boston,0.0,"[3, 6, 9, 13, 16, 19, 21, 23, 24, 25]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,countsketch_scatter,0.0,6.879367828369141,5.054819107055664,95.19200134277344,8.459883689880371,3.175055503845215,197.7563934326172
176.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,gaussian,0.0,8.132108688354492,72.91207122802734,95.19200134277344,34.653682708740234,6.560701370239258,7767.83935546875
176.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,srht,0.0,9.257746696472168,73.95885467529297,95.19200134277344,32.847259521484375,8.116926193237305,7777.73486328125
176.0,0.0,1.0,0.0,Boston,0.0,"[2, 7, 13, 21, 31, 43, 58]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,rademacher,0.0,7.083337306976318,3.7608134746551514,95.19200134277344,5.329355239868164,3.240001678466797,118.45413208007812
176.0,0.0,1.0,0.0,Boston,0.0,"[2, 7, 13, 21, 30, 43, 59]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,srht,0.0,6.847574234008789,4.399928092956543,95.19200134277344,4.983137607574463,3.1958444118499756,174.5657501220703
176.0,0.0,0.0,0.0,Boston,0.0,"[3, 6, 10, 14, 18, 21, 24, 25, 27, 27]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,countsketch_scatter,0.0,6.4317240715026855,3.43202805519104,95.19200134277344,4.606270790100098,3.1714136600494385,167.53688049316406
192.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,gaussian,0.0,8.473001480102539,66.659423828125,95.19200134277344,31.870445251464844,6.713211536407471,7688.1015625
192.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,srht,0.0,9.587907791137695,70.06309509277344,95.19200134277344,39.74632263183594,8.032990455627441,7699.20458984375
192.0,0.0,1.0,0.0,Boston,0.0,"[2, 7, 14, 23, 34, 47, 64]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,rademacher,0.0,6.27048397064209,3.5972297191619873,95.19200134277344,4.706573963165283,3.123265027999878,150.24378967285156
192.0,0.0,1.0,0.0,Boston,0.0,"[3, 7, 15, 22, 33, 47, 64]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,srht,0.0,6.611812591552734,2.3335492610931396,95.19200134277344,3.5937159061431885,3.1779887676239014,85.14911651611328
192.0,0.0,0.0,0.0,Boston,0.0,"[3, 7, 11, 16, 20, 23, 26, 27, 29, 29]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,countsketch_scatter,0.0,6.6436381340026855,2.409062623977661,95.19200134277344,3.4479923248291016,3.195251226425171,97.7408676147461
208.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,gaussian,0.0,7.974214553833008,59.821510314941406,95.19200134277344,23.460956573486328,5.747981548309326,7609.447265625
208.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,srht,0.0,9.774970054626465,72.64630126953125,95.19200134277344,48.929935455322266,7.891019821166992,7616.49755859375
208.0,0.0,1.0,0.0,Boston,0.0,"[3, 8, 15, 25, 36, 51, 69]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,rademacher,0.0,6.198957443237305,1.9991213083267212,95.19200134277344,2.9324727058410645,3.1500651836395264,88.6395034790039
208.0,0.0,1.0,0.0,Boston,0.0,"[3, 8, 16, 24, 36, 51, 69]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,srht,0.0,6.683001518249512,2.2210628986358643,95.19200134277344,3.3221776485443115,3.2010555267333984,92.06864929199219
208.0,0.0,0.0,0.0,Boston,0.0,"[3, 7, 12, 17, 22, 25, 28, 30, 31, 32]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,countsketch_scatter,0.0,6.781463623046875,2.6014301776885986,95.19200134277344,3.519728660583496,3.2143404483795166,130.4943084716797
224.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,gaussian,0.0,9.454657554626465,59.91112518310547,95.19200134277344,30.587203979492188,6.944648742675781,7497.99365234375
224.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,srht,0.0,9.730055809020996,59.85274124145508,95.19200134277344,32.68008804321289,7.330475330352783,7515.107421875
224.0,0.0,1.0,0.0,Boston,0.0,"[3, 8, 17, 27, 39, 55, 74]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,rademacher,0.0,6.690263748168945,2.5111441612243652,95.19200134277344,3.753460168838501,3.1851115226745605,86.33139038085938
224.0,0.0,1.0,0.0,Boston,0.0,"[3, 9, 16, 26, 39, 55, 75]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,srht,0.0,6.92273473739624,1.8933216333389282,95.19200134277344,3.0024333000183105,3.2215685844421387,76.72264862060547
224.0,0.0,0.0,0.0,Boston,0.0,"[4, 8, 13, 18, 23, 27, 30, 32, 34, 34]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,countsketch_scatter,0.0,6.585088729858398,2.5440802574157715,95.19200134277344,3.338318109512329,3.223849058151245,81.33892822265625
240.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,gaussian,0.0,9.178912162780762,57.5511589050293,95.19200134277344,32.50312423706055,6.302368640899658,7366.73486328125
240.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,srht,0.0,7.115462779998779,57.702396392822266,95.19200134277344,25.994884490966797,4.767127513885498,7438.7998046875
240.0,0.0,1.0,0.0,Boston,0.0,"[3, 9, 18, 29, 42, 59, 79]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,rademacher,0.0,6.572836875915527,2.3036692142486572,95.19200134277344,2.925326108932495,3.176517963409424,104.45709991455078
240.0,0.0,1.0,0.0,Boston,0.0,"[3, 9, 17, 28, 42, 59, 81]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,srht,0.0,6.456168174743652,2.1263203620910645,95.19200134277344,4.195011138916016,3.1683082580566406,69.60052490234375
240.0,0.0,0.0,0.0,Boston,0.0,"[4, 8, 14, 20, 25, 29, 32, 34, 36, 37]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,countsketch_scatter,0.0,6.189565181732178,2.637885570526123,95.19200134277344,4.691477298736572,3.169346570968628,93.4597396850586
256.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,gaussian,0.0,7.533754348754883,52.52981948852539,95.19200134277344,21.96036720275879,4.740818500518799,7253.30078125
256.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,srht,0.0,9.404959678649902,54.39787292480469,95.19200134277344,37.74155807495117,6.369382858276367,7313.9658203125
256.0,0.0,1.0,0.0,Boston,0.0,"[3, 10, 19, 31, 45, 62, 85]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,rademacher,0.0,6.850799083709717,2.2203619480133057,95.19200134277344,2.43123459815979,3.2323668003082275,60.2926139831543
256.0,0.0,1.0,0.0,Boston,0.0,"[3, 10, 18, 30, 45, 63, 86]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,srht,0.0,6.499207496643066,2.429079055786133,95.19200134277344,2.3955070972442627,3.1692864894866943,89.21851348876953
256.0,0.0,0.0,0.0,Boston,0.0,"[4, 9, 15, 21, 26, 31, 34, 37, 38, 40]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,countsketch_scatter,0.0,6.357041835784912,3.2106685638427734,95.19200134277344,4.322900295257568,3.190150260925293,106.18833923339844
272.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,gaussian,0.0,8.907391548156738,49.009342193603516,95.19200134277344,27.900009155273438,5.608565330505371,7146.23779296875
272.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,srht,0.0,9.754471778869629,47.443115234375,95.19200134277344,25.472728729248047,6.180434703826904,7137.27685546875
272.0,0.0,1.0,0.0,Boston,0.0,"[3, 10, 20, 33, 48, 67, 90]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,rademacher,0.0,6.5779314041137695,2.689937114715576,95.19200134277344,2.901109218597412,3.205049753189087,60.4163703918457
272.0,0.0,1.0,0.0,Boston,0.0,"[4, 11, 19, 32, 47, 67, 91]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,srht,0.0,6.654695510864258,1.2232874631881714,95.19200134277344,2.683070421218872,3.190277099609375,51.591453552246094
272.0,0.0,0.0,0.0,Boston,0.0,"[4, 10, 16, 22, 28, 33, 36, 39, 41, 42]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,countsketch_scatter,0.0,6.359738349914551,1.8501646518707275,95.19200134277344,3.3180675506591797,3.185950756072998,69.06034851074219
288.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,gaussian,0.0,8.362149238586426,48.36297607421875,95.19200134277344,37.51920700073242,4.8775315284729,6975.19677734375
288.0,0.0,1.0,0.0,Boston,0.0,,0.0,0.0,0.0,0.6537355184555054,133.63624572753906,rff,4.0,0.0,srht,0.0,8.068991661071777,48.44944381713867,95.19200134277344,26.458385467529297,4.85477352142334,7036.48095703125
288.0,0.0,1.0,0.0,Boston,0.0,"[4, 11, 21, 35, 51, 70, 95]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,rademacher,0.0,6.62294864654541,1.6498228311538696,95.19200134277344,2.266101598739624,3.1816298961639404,67.26052856445312
288.0,0.0,1.0,0.0,Boston,0.0,"[4, 11, 20, 34, 50, 71, 97]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,srht,0.0,6.818370342254639,1.372444987297058,95.19200134277344,2.0084426403045654,3.1941192150115967,52.60364532470703
288.0,0.0,0.0,0.0,Boston,0.0,"[5, 10, 17, 23, 30, 35, 39, 41, 43, 44]",0.0,0.0,0.0,0.6537355184555054,133.63624572753906,maclaurin,4.0,0.0,countsketch_scatter,0.0,6.66591215133667,1.7603479623794556,95.19200134277344,2.504836082458496,3.193682909011841,60.394989013671875
