dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,ahle,tree,kernel_var,kernel_len,test_error,test_mnll,test_error_ref,test_mnll_ref,test_label_var,k_frob_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
Boston,srf,5,0.5,gaussian,False,False,False,False,False,False,83.35098266601562,1.4142135381698608,47.7343864440918,7.362193584442139,12.351363182067871,2.685661792755127,94.85696411132812,1105.7886962890625,0.9063227772712708,426.712158203125,35.12671661376953,12.090771675109863,16,160,None,4.0,0.0009362697601318359,0.0008249282836914062,0
Boston,srf,5,0.5,srht,False,False,False,False,False,False,83.35098266601562,1.4142135381698608,43.91210174560547,6.930859565734863,12.351363182067871,2.685661792755127,94.85696411132812,868.560302734375,0.711886465549469,376.4449768066406,27.772403717041016,12.127408027648926,16,160,None,4.0,0.0014486312866210938,0.0006089210510253906,0
Boston,srf,5,0.5,srht,True,False,False,False,False,False,83.35098266601562,1.4142135381698608,38.46873092651367,6.264535427093506,12.351363182067871,2.685661792755127,94.85696411132812,1067.5516357421875,0.8749830722808838,303.4710388183594,22.48602294921875,12.12595272064209,16,160,None,4.0,0.0023581981658935547,0.001222848892211914,0
Boston,maclaurin_p,5,0.5,rademacher,False,False,False,False,False,False,83.35098266601562,1.4142135381698608,55.69987106323242,8.355973243713379,12.351363182067871,2.685661792755127,94.85696411132812,3373.784912109375,2.7652101516723633,452.71881103515625,33.74121856689453,12.155838966369629,16,160,None,4.0,0.0026404857635498047,0.0006098747253417969,0
Boston,maclaurin,5,0.5,rademacher,False,False,False,False,False,False,83.35098266601562,1.4142135381698608,40.75971603393555,6.534106254577637,12.351363182067871,2.685661792755127,94.85696411132812,764.0620727539062,0.6262379884719849,391.6348876953125,27.42572021484375,12.155229568481445,16,160,"[4, 11]",4.0,0.0011746883392333984,0.00060272216796875,0
Boston,maclaurin,5,0.5,rademacher,True,False,False,False,False,False,83.35098266601562,1.4142135381698608,34.78974533081055,5.807600498199463,12.351363182067871,2.685661792755127,94.85696411132812,706.4864501953125,0.5790480375289917,239.60580444335938,18.856327056884766,12.143885612487793,16,160,"[5, 10]",4.0,0.0013284683227539062,0.0006000995635986328,0
Boston,maclaurin,5,0.5,srht,False,False,False,False,False,False,83.35098266601562,1.4142135381698608,36.307193756103516,6.011966705322266,12.351363182067871,2.685661792755127,94.85696411132812,795.4022827148438,0.6519249081611633,334.0894775390625,25.152780532836914,12.173423767089844,16,160,"[4, 11]",4.0,0.003077983856201172,0.0006046295166015625,0
Boston,maclaurin,5,0.5,srht,True,False,False,False,False,False,83.35098266601562,1.4142135381698608,34.38142395019531,5.730312347412109,12.351363182067871,2.685661792755127,94.85696411132812,833.33154296875,0.6830123662948608,213.05186462402344,15.757829666137695,12.075387001037598,16,160,"[5, 10]",4.0,0.002185344696044922,0.0005996227264404297,0
Boston,poly_sketch,5,0.5,gaussian,False,False,False,False,False,False,83.35098266601562,1.4142135381698608,54.65018844604492,8.274365425109863,12.351363182067871,2.685661792755127,94.85696411132812,1091.464111328125,0.8945820927619934,538.5341186523438,39.084659576416016,12.278797149658203,16,160,None,4.0,0.0009996891021728516,0.0008511543273925781,0
Boston,poly_sketch,5,0.5,gaussian,True,False,False,False,False,False,83.35098266601562,1.4142135381698608,35.6564826965332,5.93607234954834,12.351363182067871,2.685661792755127,94.85696411132812,1145.5946044921875,0.938948392868042,303.8562927246094,20.99016761779785,12.260952949523926,16,160,None,4.0,0.001190185546875,0.0010304450988769531,0
Boston,poly_sketch,5,0.5,rademacher,False,False,False,False,False,False,83.35098266601562,1.4142135381698608,61.465309143066406,8.959434509277344,12.351363182067871,2.685661792755127,94.85696411132812,1022.0628662109375,0.8376997113227844,530.3836669921875,40.45822525024414,12.029723167419434,16,160,None,4.0,0.0013158321380615234,0.0011851787567138672,0
Boston,poly_sketch,5,0.5,rademacher,True,False,False,False,False,False,83.35098266601562,1.4142135381698608,37.4407844543457,6.12122917175293,12.351363182067871,2.685661792755127,94.85696411132812,1524.45166015625,1.2494659423828125,277.0576477050781,21.239599227905273,12.129459381103516,16,160,None,4.0,0.001226186752319336,0.0011396408081054688,0
Boston,poly_sketch,5,0.5,rademacher,False,False,False,False,True,True,83.35098266601562,1.4142135381698608,65.16851806640625,9.442288398742676,12.351363182067871,2.685661792755127,94.85696411132812,3772.194091796875,3.0917530059814453,528.640380859375,42.834877014160156,12.232295036315918,16,160,None,4.0,0.0033524036407470703,0.0006229877471923828,0
Boston,poly_sketch,5,0.5,rademacher,True,False,False,False,True,True,83.35098266601562,1.4142135381698608,58.67624282836914,8.800943374633789,12.351363182067871,2.685661792755127,94.85696411132812,2208.63037109375,1.8102301359176636,564.619140625,37.86929702758789,12.168756484985352,16,160,None,4.0,0.0036008358001708984,0.0009064674377441406,0
Boston,poly_sketch,5,0.5,srht,False,False,False,False,False,False,83.35098266601562,1.4142135381698608,80.01807403564453,11.326653480529785,12.351363182067871,2.685661792755127,94.85696411132812,1090.50048828125,0.8937923312187195,890.1845703125,64.93802642822266,12.019676208496094,16,160,None,4.0,0.003332853317260742,0.0011963844299316406,0
Boston,poly_sketch,5,0.5,srht,True,False,False,False,False,False,83.35098266601562,1.4142135381698608,45.56291961669922,7.139067649841309,12.351363182067871,2.685661792755127,94.85696411132812,1246.455322265625,1.0216155052185059,412.846435546875,27.08839988708496,12.249542236328125,16,160,None,4.0,0.0042552947998046875,0.0008432865142822266,0
Boston,poly_sketch,5,0.5,srht,False,False,False,False,True,True,83.35098266601562,1.4142135381698608,49.70136642456055,7.686252117156982,12.351363182067871,2.685661792755127,94.85696411132812,1932.564697265625,1.583962082862854,421.5823059082031,30.312911987304688,12.030177116394043,16,160,None,4.0,0.005819559097290039,0.0006041526794433594,0
Boston,poly_sketch,5,0.5,srht,True,False,False,False,True,True,83.35098266601562,1.4142135381698608,43.307430267333984,6.85901403427124,12.351363182067871,2.685661792755127,94.85696411132812,1091.561279296875,0.8946617841720581,356.9666748046875,28.95764923095703,12.141547203063965,16,160,None,4.0,0.007437467575073242,0.0005991458892822266,0
Boston,poly_sketch,5,0.5,countsketch_scatter,False,False,False,False,False,False,83.35098266601562,1.4142135381698608,63.10601043701172,9.224058151245117,12.351363182067871,2.685661792755127,94.85696411132812,1145.5555419921875,0.9389163255691528,551.5880737304688,44.79004669189453,11.843639373779297,16,160,None,4.0,0.004792451858520508,0.0008556842803955078,0
Boston,srf,5,0.5,gaussian,False,False,False,False,False,False,83.35098266601562,1.4142135381698608,31.574005126953125,5.166707515716553,12.351363182067871,2.685661792755127,94.85696411132812,593.38623046875,0.4863492250442505,182.22894287109375,17.04087257385254,10.200300216674805,48,160,None,4.0,0.0010821819305419922,0.0009217262268066406,0
Boston,srf,5,0.5,srht,False,False,False,False,False,False,83.35098266601562,1.4142135381698608,24.28387451171875,4.334468841552734,12.351363182067871,2.685661792755127,94.85696411132812,476.7120056152344,0.39072108268737793,142.9002685546875,12.984703063964844,10.204151153564453,48,160,None,4.0,0.0019474029541015625,0.0009002685546875,0
Boston,srf,5,0.5,srht,True,False,False,False,False,False,83.35098266601562,1.4142135381698608,27.949499130249023,4.729644775390625,12.351363182067871,2.685661792755127,94.85696411132812,555.2748413085938,0.455112487077713,134.69610595703125,11.372780799865723,10.125594139099121,48,160,None,4.0,0.002193450927734375,0.0012078285217285156,0
Boston,maclaurin_p,5,0.5,rademacher,False,False,False,False,False,False,83.35098266601562,1.4142135381698608,24.134218215942383,4.3602614402771,12.351363182067871,2.685661792755127,94.85696411132812,668.6875610351562,0.5480674505233765,161.9696807861328,12.156743049621582,10.54680347442627,48,160,None,4.0,0.002288341522216797,0.0006487369537353516,0
