D,bias,comp,dataset,degree,feature_dist,feature_time,hier,k_mean_error,k_mse,k_rel_frob_error,kernel_len,kernel_var,method,noise_var,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
1024.0,0.875,0.0,FashionMNIST,10.0,None,0.19376540184020996,0.0,0.10583935678005219,0.02872496470808983,0.1363009214401245,2.8284270763397217,3.895010232925415,poly_sketch,0.01,0.25786614418029785,rademacher,0.0,0.147599995136261,1840.2359619140625,0.09000000357627869,0.3860695958137512,0.4362124800682068,0.15923072397708893
1024.0,0.875,1.0,FashionMNIST,10.0,None,0.7102255821228027,0.0,0.06964600086212158,0.00885065458714962,0.07565832883119583,2.8284270763397217,3.895010232925415,poly_sketch,0.01,0.7703094482421875,rademacher,0.0,0.1395999938249588,1068.467041015625,0.09000000357627869,0.2024979591369629,0.4039252698421478,0.13629302382469177
1024.0,0.875,0.0,FashionMNIST,10.0,None,0.09379339218139648,0.0,0.10434895753860474,0.027405865490436554,0.13313455879688263,2.8284270763397217,3.895010232925415,poly_sketch,0.01,0.2590482234954834,srht,0.0,0.15279999375343323,1852.6324462890625,0.09000000357627869,0.39019373059272766,0.4411945641040802,0.1587788313627243
1024.0,0.875,1.0,FashionMNIST,10.0,None,0.2384352684020996,0.0,0.06616445630788803,0.008604725822806358,0.07459978759288788,2.8284270763397217,3.895010232925415,poly_sketch,0.01,0.7731106281280518,srht,0.0,0.14139999449253082,1039.684814453125,0.09000000357627869,0.19759933650493622,0.4039668142795563,0.1359490156173706
1024.0,0.875,0.0,FashionMNIST,10.0,None,0.10831403732299805,0.0,1.1242682933807373,1.5461865663528442,1.0,2.8284270763397217,3.895010232925415,poly_sketch,0.01,0.29588794708251953,countsketch_scatter,0.0,0.8999999761581421,88239.8359375,0.09000000357627869,3.682349681854248,2.3025856018066406,0.6615759134292603
2048.0,0.875,0.0,FashionMNIST,10.0,None,0.3876032829284668,0.0,0.07967992126941681,0.014552113600075245,0.09701348096132278,2.8284270763397217,3.895010232925415,poly_sketch,0.01,0.9918477535247803,rademacher,0.0,0.1386999934911728,988.5322265625,0.09000000357627869,0.23100851476192474,0.40457963943481445,0.07224494218826294
2048.0,0.875,1.0,FashionMNIST,10.0,None,1.397644281387329,0.0,0.052030958235263824,0.004802352283149958,0.055730897933244705,2.8284270763397217,3.895010232925415,poly_sketch,0.01,2.7266976833343506,rademacher,0.0,0.12789998948574066,508.8953552246094,0.09000000357627869,0.1130819097161293,0.3702739179134369,0.054343514144420624
2048.0,0.875,0.0,FashionMNIST,10.0,None,0.1935257911682129,0.0,0.07182002812623978,0.014614622108638287,0.09722162038087845,2.8284270763397217,3.895010232925415,poly_sketch,0.01,0.9593207836151123,srht,0.0,0.1387999951839447,993.9130249023438,0.09000000357627869,0.22951339185237885,0.3979438245296478,0.0740608498454094
2048.0,0.875,1.0,FashionMNIST,10.0,None,0.47328805923461914,0.0,0.042480554431676865,0.0030746781267225742,0.04459322616457939,2.8284270763397217,3.895010232925415,poly_sketch,0.01,2.7239835262298584,srht,0.0,0.12999999523162842,494.48974609375,0.09000000357627869,0.11202658712863922,0.3750574290752411,0.0511619858443737
2048.0,0.875,0.0,FashionMNIST,10.0,None,0.17098689079284668,0.0,1.1242682933807373,1.5461865663528442,1.0,2.8284270763397217,3.895010232925415,poly_sketch,0.01,1.0598876476287842,countsketch_scatter,0.0,0.8999999761581421,88239.8359375,0.09000000357627869,3.682349681854248,2.3025856018066406,0.6615759134292603
