D,bias,comp,dataset,degree,feature_dist,feature_time,hier,k_mean_error,k_mse,k_rel_frob_error,kernel_len,kernel_var,method,noise_var,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
1024.0,0.875,0.0,FashionMNIST,10.0,None,0.1942920684814453,0.0,0.3360067307949066,0.20585989952087402,0.1855592131614685,2.8284270763397217,3.895010232925415,poly_sketch,0.01,0.2554197311401367,rademacher,0.0,0.15629999339580536,2914.129638671875,0.09000000357627869,0.2787777781486511,0.4527304470539093,0.036295466125011444
1024.0,0.875,1.0,FashionMNIST,10.0,None,0.7092607021331787,0.0,0.1546238362789154,0.032895736396312714,0.07417652010917664,2.8284270763397217,3.895010232925415,poly_sketch,0.01,0.7666521072387695,rademacher,0.0,0.14329999685287476,1274.6864013671875,0.09000000357627869,0.11791031062602997,0.4211321175098419,0.024639682844281197
1024.0,0.875,0.0,FashionMNIST,10.0,None,0.09642672538757324,0.0,0.5498067736625671,0.3561830520629883,0.24408060312271118,2.8284270763397217,3.895010232925415,poly_sketch,0.01,0.25632691383361816,srht,0.0,0.15950000286102295,2819.674560546875,0.09000000357627869,0.2625132203102112,0.4515818655490875,0.036348361521959305
1024.0,0.875,1.0,FashionMNIST,10.0,None,0.23546886444091797,0.0,0.10657596588134766,0.01641051284968853,0.05239112675189972,2.8284270763397217,3.895010232925415,poly_sketch,0.01,0.7663469314575195,srht,0.0,0.14499999582767487,1174.1038818359375,0.09000000357627869,0.11272456496953964,0.4182482361793518,0.022147445008158684
1024.0,0.875,0.0,FashionMNIST,10.0,None,0.1038200855255127,0.0,2.3847129344940186,5.978699684143066,1.0,2.8284270763397217,3.895010232925415,poly_sketch,0.01,0.2937624454498291,countsketch_scatter,0.0,0.8999999761581421,134156.125,0.09000000357627869,3.947690010070801,2.3025856018066406,0.17493098974227905
2048.0,0.875,0.0,FashionMNIST,10.0,None,0.38610005378723145,0.0,0.13874505460262299,0.034043069928884506,0.07545899599790573,2.8284270763397217,3.895010232925415,poly_sketch,0.01,0.9671156406402588,rademacher,0.0,0.14569999277591705,1722.19921875,0.09000000357627869,0.18174505233764648,0.4214141070842743,0.016697147861123085
2048.0,0.875,1.0,FashionMNIST,10.0,None,1.3960421085357666,0.0,0.10152582824230194,0.017906341701745987,0.05472680553793907,2.8284270763397217,3.895010232925415,poly_sketch,0.01,2.718651056289673,rademacher,0.0,0.1356000006198883,642.1522827148438,0.09000000357627869,0.06746305525302887,0.3946072459220886,0.008361872285604477
2048.0,0.875,0.0,FashionMNIST,10.0,None,0.18820929527282715,0.0,0.14484050869941711,0.032953012734651566,0.07424107193946838,2.8284270763397217,3.895010232925415,poly_sketch,0.01,0.9853978157043457,srht,0.0,0.14249999821186066,1704.7386474609375,0.09000000357627869,0.1766669899225235,0.4208466112613678,0.01842726767063141
2048.0,0.875,1.0,FashionMNIST,10.0,None,0.46850037574768066,0.0,0.08804655820131302,0.01210008841007948,0.044987402856349945,2.8284270763397217,3.895010232925415,poly_sketch,0.01,2.7189934253692627,srht,0.0,0.1339000016450882,620.2409057617188,0.09000000357627869,0.06694990396499634,0.39662301540374756,0.00867403019219637
2048.0,0.875,0.0,FashionMNIST,10.0,None,0.16823697090148926,0.0,2.3847129344940186,5.978699684143066,1.0,2.8284270763397217,3.895010232925415,poly_sketch,0.01,1.0487148761749268,countsketch_scatter,0.0,0.8999999761581421,134156.125,0.09000000357627869,3.947690010070801,2.3025856018066406,0.17493098974227905
