D,alpha,bias,comp,dataset,degree,dist_est_time,dummy_error,dummy_mnll,est_len,feature_dist,hier,k_mean_error,k_mean_rel_error,k_mse,k_rel_frob_error,k_rel_frob_error_comp,kernel_len,kernel_var,method,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
64.0,0.001,0.875,0.0,Mocap,10.0,1.430511474609375e-06,0.7915493249893188,1.608945369720459,2.82842712474619,None,0.0,1.3134702444076538,0.3366558253765106,2.98734450340271,0.3458198010921478,0.0,2.8284270763397217,16.053884506225586,maclaurin_p,0.1533653736114502,rademacher,0.0,0.18565942347049713,28767.287109375,0.1600000411272049,8.124058723449707,0.554208517074585,1.6860603094100952
64.0,0.001,0.875,0.0,Mocap,10.0,1.430511474609375e-06,0.7915493249893188,1.608945369720459,2.82842712474619,None,0.0,1.1032339334487915,0.27501070499420166,2.053544521331787,0.28672081232070923,0.0,2.8284270763397217,16.053884506225586,maclaurin_p,0.18409204483032227,srht,0.0,0.19334188103675842,32491.919921875,0.1600000411272049,8.92478084564209,0.5639554858207703,1.6954941749572754
64.0,0.001,0.875,0.0,Mocap,10.0,1.430511474609375e-06,0.7915493249893188,1.608945369720459,2.82842712474619,None,0.0,1.399928331375122,0.36743414402008057,3.108417272567749,0.35275799036026,0.0,2.8284270763397217,16.053884506225586,srf,0.15160655975341797,gaussian,0.0,0.20857875049114227,30607.025390625,0.1600000411272049,8.915257453918457,0.6099199056625366,1.6875895261764526
64.0,0.001,0.875,1.0,Mocap,10.0,1.1920928955078125e-06,0.7915493249893188,1.608945369720459,2.82842712474619,None,0.0,1.0777508020401,0.27965226769447327,1.8204396963119507,0.26995745301246643,0.3710745871067047,2.8284270763397217,16.053884506225586,srf,0.5947988033294678,gaussian,0.0,0.18015365302562714,30137.568359375,0.1600000411272049,8.431795120239258,0.515118420124054,1.6903183460235596
64.0,0.001,0.875,0.0,Mocap,10.0,1.9073486328125e-06,0.7915493249893188,1.608945369720459,2.82842712474619,None,0.0,1.2104089260101318,0.3248783051967621,2.3633906841278076,0.30759191513061523,0.0,2.8284270763397217,16.053884506225586,srf,0.1472463607788086,srht,0.0,0.20819462835788727,32693.935546875,0.1600000411272049,9.229074478149414,0.6075829267501831,1.690640926361084
64.0,0.001,0.875,1.0,Mocap,10.0,1.9073486328125e-06,0.7915493249893188,1.608945369720459,2.82842712474619,None,0.0,0.6435855627059937,0.17971663177013397,0.6973974108695984,0.16708879172801971,0.35252857208251953,2.8284270763397217,16.053884506225586,srf,0.6223163604736328,srht,0.0,0.17797696590423584,29229.087890625,0.1600000411272049,8.202934265136719,0.4992954730987549,1.6913912296295166
64.0,0.001,0.875,0.0,Mocap,10.0,0.5248582363128662,0.7915493249893188,1.608945369720459,2.82842712474619,"[37, 26]",0.0,1.0039739608764648,0.25295135378837585,1.7182990312576294,0.2622748017311096,0.0,2.8284270763397217,16.053884506225586,maclaurin,0.1483910083770752,rademacher,0.0,0.17093470692634583,27910.375,0.1600000411272049,7.568402290344238,0.5187040567398071,1.685068964958191
64.0,0.001,0.875,1.0,Mocap,10.0,0.4669013023376465,0.7915493249893188,1.608945369720459,2.82842712474619,"[37, 26]",0.0,0.6898753046989441,0.1719372421503067,0.7604402899742126,0.17447763681411743,0.23841111361980438,2.8284270763397217,16.053884506225586,maclaurin,0.6082453727722168,rademacher,0.0,0.16030730307102203,29269.099609375,0.1600000411272049,7.719951152801514,0.4874523878097534,1.6860263347625732
64.0,0.001,0.875,0.0,Mocap,10.0,0.5902824401855469,0.7915493249893188,1.608945369720459,2.82842712474619,"[37, 26]",0.0,0.8504758477210999,0.2156955450773239,1.1991229057312012,0.2190983146429062,0.0,2.8284270763397217,16.053884506225586,maclaurin,0.16330766677856445,srht,0.0,0.1811779886484146,30429.072265625,0.1600000411272049,8.14198112487793,0.5181559920310974,1.6922818422317505
64.0,0.001,0.875,1.0,Mocap,10.0,0.5060935020446777,0.7915493249893188,1.608945369720459,2.82842712474619,"[38, 25]",0.0,0.5946340560913086,0.15317125618457794,0.5660644173622131,0.15053591132164001,0.215818852186203,2.8284270763397217,16.053884506225586,maclaurin,0.6527535915374756,srht,0.0,0.17554418742656708,29127.712890625,0.1600000411272049,7.762828350067139,0.513816237449646,1.7004258632659912
