D,alpha,bias,comp,dataset,degree,dist_est_time,dummy_error,dummy_mnll,est_len,feature_dist,hier,k_mean_error,k_mean_rel_error,k_mse,k_rel_frob_error,k_rel_frob_error_comp,kernel_len,kernel_var,method,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
16.0,0.1,0.875,0.0,Magic,10.0,1.1920928955078125e-06,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.490391343832016,0.829378068447113,0.39049288630485535,0.5892534255981445,0.0,2.8284270763397217,2.679077625274658,maclaurin_p,0.08135318756103516,rademacher,0.0,0.2234489917755127,15628.3369140625,0.25,0.5832816958427429,0.47892317175865173,0.0033801435492932796
16.0,0.1,0.875,0.0,Magic,10.0,9.5367431640625e-07,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.5127044320106506,1.0094729661941528,0.5265070796012878,0.6842229962348938,0.0,2.8284270763397217,2.679077625274658,maclaurin_p,0.07568526268005371,srht,0.0,0.21976865828037262,14247.255859375,0.25,0.5682089924812317,0.47695982456207275,0.003385199699550867
16.0,0.1,0.875,0.0,Magic,10.0,9.5367431640625e-07,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.48371875286102295,0.930114209651947,0.36933770775794983,0.5730695724487305,0.0,2.8284270763397217,2.679077625274658,srf,0.04199981689453125,gaussian,0.0,0.22292321920394897,16396.765625,0.25,0.7115418910980225,0.5087224841117859,0.0033640298061072826
16.0,0.1,0.875,1.0,Magic,10.0,1.1920928955078125e-06,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.34538915753364563,0.7013171911239624,0.19713738560676575,0.4186778962612152,0.6495059132575989,2.8284270763397217,2.679077625274658,srf,0.0660240650177002,gaussian,0.0,0.18611986935138702,11027.3310546875,0.25,0.4530198276042938,0.4448865056037903,0.0033708717674016953
16.0,0.1,0.875,0.0,Magic,10.0,1.6689300537109375e-06,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.3215666115283966,0.6333909034729004,0.17723360657691956,0.396979957818985,0.0,2.8284270763397217,2.679077625274658,srf,0.04416608810424805,srht,0.0,0.2087276428937912,12481.49609375,0.25,0.4940842390060425,0.4606754779815674,0.0033717879559844732
16.0,0.1,0.875,1.0,Magic,10.0,9.5367431640625e-07,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.20609045028686523,0.4823947548866272,0.08226153254508972,0.2704543173313141,0.6032935976982117,2.8284270763397217,2.679077625274658,srf,0.07388091087341309,srht,0.0,0.19032596051692963,8603.79296875,0.25,0.35683751106262207,0.424535870552063,0.0033935210667550564
16.0,0.1,0.875,0.0,Magic,10.0,0.242079496383667,0.36330175399780273,0.6556615829467773,2.82842712474619,"[8, 7]",0.0,0.3154696524143219,0.5525472164154053,0.1566242128610611,0.3731856942176819,0.0,2.8284270763397217,2.679077625274658,maclaurin,0.09179449081420898,rademacher,0.0,0.18243952095508575,11304.79296875,0.25,0.4386061728000641,0.4241926074028015,0.003369198879227042
16.0,0.1,0.875,1.0,Magic,10.0,0.23714947700500488,0.36330175399780273,0.6556615829467773,2.82842712474619,"[9, 6]",0.0,0.28219252824783325,0.5133987069129944,0.12402407824993134,0.33208444714546204,0.4213247299194336,2.8284270763397217,2.679077625274658,maclaurin,0.12796902656555176,rademacher,0.0,0.17613038420677185,10398.462890625,0.25,0.37785452604293823,0.42103511095046997,0.0033569640945643187
16.0,0.1,0.875,0.0,Magic,10.0,0.2904324531555176,0.36330175399780273,0.6556615829467773,2.82842712474619,"[8, 7]",0.0,0.3094228506088257,0.5434588193893433,0.1660112738609314,0.3842061758041382,0.0,2.8284270763397217,2.679077625274658,maclaurin,0.09673881530761719,srht,0.0,0.23711881041526794,14978.443359375,0.25,0.6871839165687561,0.5111910700798035,0.0033972724340856075
16.0,0.1,0.875,1.0,Magic,10.0,0.29494786262512207,0.36330175399780273,0.6556615829467773,2.82842712474619,"[9, 6]",0.0,0.18226970732212067,0.31114253401756287,0.04997401311993599,0.21079856157302856,0.30562624335289,2.8284270763397217,2.679077625274658,maclaurin,0.14394664764404297,srht,0.0,0.19242900609970093,10728.1875,0.25,0.4259490370750427,0.43031200766563416,0.0033837410155683756
