name,p,proj,full_cov,complex_weights,complex_real,ahle,tree,mae,mse,abs_err_std,abs_sq_err_std
Gaussian,1,gaussian,False,False,False,False,False,0.030066104605793953,0.0014183615567162633,0.022680198773741722,0.002028967719525099
Gaussian,2,gaussian,False,False,False,False,False,0.044397011399269104,0.003124212846159935,0.03395761176943779,0.004617495462298393
Gaussian,3,gaussian,False,False,False,False,False,0.059699587523937225,0.0060981446877121925,0.050339918583631516,0.014099386520683765
Gaussian,4,gaussian,False,False,False,False,False,0.07248704880475998,0.01046406663954258,0.07217824459075928,0.04983091726899147
Gaussian,5,gaussian,False,False,False,False,False,0.0856882780790329,0.02388407103717327,0.1286141723394394,0.3649163842201233
Gaussian,6,gaussian,False,False,False,False,False,0.08830010145902634,0.046013254672288895,0.19549012184143066,1.9916566610336304
Gaussian,7,gaussian,False,False,False,False,False,0.08318037539720535,0.05246315896511078,0.21341094374656677,2.222109317779541
Gaussian,8,gaussian,False,False,False,False,False,0.08012636005878448,0.1922684907913208,0.43110141158103943,20.857257843017578
Gaussian,9,gaussian,False,False,False,False,False,0.06908603012561798,0.171702578663826,0.4085705280303955,21.044828414916992
Complex Gaussian,1,gaussian,False,True,False,False,False,0.02122936025261879,0.0007118885405361652,0.016161780804395676,0.0010240498231723905
Complex Gaussian,2,gaussian,False,True,False,False,False,0.026822533458471298,0.001132155884988606,0.02031521685421467,0.0016201511025428772
Complex Gaussian,3,gaussian,False,True,False,False,False,0.031509269028902054,0.001580953598022461,0.024251189082860947,0.002391721587628126
Complex Gaussian,4,gaussian,False,True,False,False,False,0.035812150686979294,0.002124073216691613,0.02900971844792366,0.003994613420218229
Complex Gaussian,5,gaussian,False,True,False,False,False,0.04046964272856712,0.002980154240503907,0.0366382822394371,0.009138191118836403
Complex Gaussian,6,gaussian,False,True,False,False,False,0.04426008462905884,0.0039980001747608185,0.04515580087900162,0.018112562596797943
Complex Gaussian,7,gaussian,False,True,False,False,False,0.047662749886512756,0.005728303920477629,0.058792594820261,0.05259961634874344
Complex Gaussian,8,gaussian,False,True,False,False,False,0.0499466247856617,0.008415722288191319,0.07694844901561737,0.18744173645973206
Complex Gaussian,9,gaussian,False,True,False,False,False,0.0504378117620945,0.011336897499859333,0.09377063810825348,0.5851377248764038
Rademacher,1,rademacher,False,False,False,False,False,0.029903098940849304,0.0014020766830071807,0.022536231204867363,0.0019848437514156103
Rademacher,2,rademacher,False,False,False,False,False,0.04419515281915665,0.0031032925471663475,0.03391285613179207,0.004627003334462643
Rademacher,3,rademacher,False,False,False,False,False,0.058675218373537064,0.005759284365922213,0.048130083829164505,0.011431830935180187
Rademacher,4,rademacher,False,False,False,False,False,0.07264967262744904,0.010495305061340332,0.07223111391067505,0.055428724735975266
Rademacher,5,rademacher,False,False,False,False,False,0.08185406029224396,0.018633125349879265,0.10923849791288376,0.21225757896900177
Rademacher,6,rademacher,False,False,False,False,False,0.08548151701688766,0.02853609435260296,0.1457018256187439,0.5034215450286865
Rademacher,7,rademacher,False,False,False,False,False,0.08426971733570099,0.053629275411367416,0.2157033532857895,3.0827691555023193
Rademacher,8,rademacher,False,False,False,False,False,0.07428470253944397,0.06501452624797821,0.243918776512146,3.190598249435425
Rademacher,9,rademacher,False,False,False,False,False,0.06820676475763321,0.16613534092903137,0.4018499255180359,37.6389274597168
Complex Rademacher,1,rademacher,False,True,False,False,False,0.02112925425171852,0.0006953675183467567,0.01577727682888508,0.0009636700851842761
Complex Rademacher,2,rademacher,False,True,False,False,False,0.026933858171105385,0.0011406081030145288,0.020375864580273628,0.0016291891224682331
Complex Rademacher,3,rademacher,False,True,False,False,False,0.03112941049039364,0.0015465292381122708,0.0240310151129961,0.002351927338168025
Complex Rademacher,4,rademacher,False,True,False,False,False,0.03563377633690834,0.0020993552170693874,0.028802601620554924,0.003976200241595507
Complex Rademacher,5,rademacher,False,True,False,False,False,0.040216006338596344,0.0029824126977473497,0.03694707900285721,0.01246755663305521
Complex Rademacher,6,rademacher,False,True,False,False,False,0.04323599115014076,0.0037242588587105274,0.04306866228580475,0.017828933894634247
Complex Rademacher,7,rademacher,False,True,False,False,False,0.04749125987291336,0.005671669729053974,0.058448728173971176,0.07719948142766953
Complex Rademacher,8,rademacher,False,True,False,False,False,0.048722170293331146,0.00712252501398325,0.06891066581010818,0.11220601946115494
Complex Rademacher,9,rademacher,False,True,False,False,False,0.05025129020214081,0.010286835953593254,0.08810023963451385,0.3150864839553833
Ahle et al. Tree Rademacher,1,rademacher,False,False,False,True,True,0.02989942766726017,0.001414967468008399,0.02282525599002838,0.0020510742906481028
Ahle et al. Tree Rademacher,2,rademacher,False,False,False,True,True,0.051022108644247055,0.004140643868595362,0.03920956701040268,0.0062231882475316525
Ahle et al. Tree Rademacher,3,rademacher,False,False,False,True,True,0.05514299124479294,0.004866848234087229,0.04273289442062378,0.007515232544392347
Ahle et al. Tree Rademacher,4,rademacher,False,False,False,True,True,0.04823148250579834,0.0037371020298451185,0.03756098449230194,0.0058359866961836815
Ahle et al. Tree Rademacher,5,rademacher,False,False,False,True,True,0.05129443109035492,0.0042929863557219505,0.04076603055000305,0.0070751747116446495
Ahle et al. Tree Rademacher,6,rademacher,False,False,False,True,True,0.04367368295788765,0.003121869172900915,0.0348493829369545,0.005204847548156977
Ahle et al. Tree Rademacher,7,rademacher,False,False,False,True,True,0.03941255062818527,0.0025338646955788136,0.031313199549913406,0.004110188689082861
Ahle et al. Tree Rademacher,8,rademacher,False,False,False,True,True,0.037285830825567245,0.0022697076201438904,0.02965594455599785,0.0036518073175102472
Ahle et al. Tree Rademacher,9,rademacher,False,False,False,True,True,0.04566233232617378,0.0035020371433347464,0.03764292597770691,0.006061270833015442
Ahle et al. Tree Rademacher Comp.,1,rademacher,False,True,False,True,True,0.021201761439442635,0.0007080405484884977,0.01607874408364296,0.0010045099770650268
Ahle et al. Tree Rademacher Comp.,2,rademacher,False,True,False,True,True,0.032322827726602554,0.0016584553522989154,0.02477278746664524,0.0024401701521128416
Ahle et al. Tree Rademacher Comp.,3,rademacher,False,True,False,True,True,0.035547416657209396,0.0019970641005784273,0.027082202956080437,0.002910346258431673
Ahle et al. Tree Rademacher Comp.,4,rademacher,False,True,False,True,True,0.031961943954229355,0.0016216469230130315,0.024496564641594887,0.002400216180831194
Ahle et al. Tree Rademacher Comp.,5,rademacher,False,True,False,True,True,0.0331856943666935,0.0017552798381075263,0.02557322569191456,0.0026273110415786505
Ahle et al. Tree Rademacher Comp.,6,rademacher,False,True,False,True,True,0.029216960072517395,0.0013639719691127539,0.022590739652514458,0.0020567297469824553
Ahle et al. Tree Rademacher Comp.,7,rademacher,False,True,False,True,True,0.02706306241452694,0.0011669789673760533,0.020846346393227577,0.0017357520991936326
Ahle et al. Tree Rademacher Comp.,8,rademacher,False,True,False,True,True,0.0260616447776556,0.0010828312952071428,0.02009035460650921,0.0016064479714259505
Ahle et al. Tree Rademacher Comp.,9,rademacher,False,True,False,True,True,0.02999822609126568,0.0014496445655822754,0.023446781560778618,0.002218903275206685
Ahle et al. Rademacher,1,rademacher,False,False,False,True,False,0.02989942766726017,0.001414967468008399,0.02282525599002838,0.0020510742906481028
Ahle et al. Rademacher,2,rademacher,False,False,False,True,False,0.051022108644247055,0.004140643868595362,0.03920956701040268,0.0062231882475316525
Ahle et al. Rademacher,3,rademacher,False,False,False,True,False,0.053427938371896744,0.004533824976533651,0.0409790463745594,0.006766903679817915
Ahle et al. Rademacher,4,rademacher,False,False,False,True,False,0.052972402423620224,0.004501089453697205,0.04117056727409363,0.006927215959876776
Ahle et al. Rademacher,5,rademacher,False,False,False,True,False,0.051607999950647354,0.004291711375117302,0.04035254195332527,0.006687848828732967
Ahle et al. Rademacher,6,rademacher,False,False,False,True,False,0.05076326057314873,0.004174537491053343,0.03997037187218666,0.006569210439920425
Ahle et al. Rademacher,7,rademacher,False,False,False,True,False,0.050215549767017365,0.004102768376469612,0.0397639125585556,0.006497841794043779
Ahle et al. Rademacher,8,rademacher,False,False,False,True,False,0.04967223480343819,0.004031766206026077,0.0395529679954052,0.006434627342969179
Ahle et al. Rademacher,9,rademacher,False,False,False,True,False,0.05001744627952576,0.00410648575052619,0.04005923494696617,0.006655696779489517
Ahle et al. Rademacher Comp.,1,rademacher,False,True,False,True,False,0.021201761439442635,0.0007080405484884977,0.01607874408364296,0.0010045099770650268
Ahle et al. Rademacher Comp.,2,rademacher,False,True,False,True,False,0.032322827726602554,0.0016584553522989154,0.02477278746664524,0.0024401701521128416
Ahle et al. Rademacher Comp.,3,rademacher,False,True,False,True,False,0.03460220247507095,0.0018891850486397743,0.0263034850358963,0.0027288896963000298
Ahle et al. Rademacher Comp.,4,rademacher,False,True,False,True,False,0.03394110128283501,0.0018263690872117877,0.02596866339445114,0.0026813270524144173
Ahle et al. Rademacher Comp.,5,rademacher,False,True,False,True,False,0.03333967924118042,0.0017627808265388012,0.02551954612135887,0.0025923571083694696
Ahle et al. Rademacher Comp.,6,rademacher,False,True,False,True,False,0.032897304743528366,0.0017210477963089943,0.02527480758726597,0.0025417127180844545
Ahle et al. Rademacher Comp.,7,rademacher,False,True,False,True,False,0.03263915330171585,0.0016956711187958717,0.025106919929385185,0.0025036362931132317
Ahle et al. Rademacher Comp.,8,rademacher,False,True,False,True,False,0.032407332211732864,0.001676151528954506,0.025018328800797462,0.0024907998740673065
Ahle et al. Rademacher Comp.,9,rademacher,False,True,False,True,False,0.03239506483078003,0.0016767323249951005,0.025045812129974365,0.0024966015480458736
