name,p,proj,full_cov,complex_weights,complex_real,ahle,tree,mae,mse,abs_err_std,abs_sq_err_std
Gaussian,1,gaussian,False,False,False,False,False,0.032843008637428284,0.0017053340561687946,0.025033412501215935,0.0024536254350095987
Gaussian,2,gaussian,False,False,False,False,False,0.059395477175712585,0.00584834162145853,0.048171788454055786,0.009453145787119865
Gaussian,3,gaussian,False,False,False,False,False,0.0930996909737587,0.01559392735362053,0.08322489261627197,0.032435547560453415
Gaussian,4,gaussian,False,False,False,False,False,0.1382478028535843,0.04238547757267952,0.15255506336688995,0.15892277657985687
Gaussian,5,gaussian,False,False,False,False,False,0.19333182275295258,0.10193716734647751,0.2540866434574127,0.8136436939239502
Gaussian,6,gaussian,False,False,False,False,False,0.2512781322002411,0.23229433596134186,0.41128313541412354,2.336632251739502
Gaussian,7,gaussian,False,False,False,False,False,0.3119443953037262,0.5339772701263428,0.6608089208602905,6.789458274841309
Gaussian,8,gaussian,False,False,False,False,False,0.41658803820610046,3.624377489089966,1.8576425313949585,112.51947021484375
Gaussian,9,gaussian,False,False,False,False,False,0.41116955876350403,2.3015670776367188,1.4603110551834106,112.99231719970703
Complex Gaussian,1,gaussian,False,True,False,False,False,0.02273528464138508,0.0008161038858816028,0.017297714948654175,0.0011776636820286512
Complex Gaussian,2,gaussian,False,True,False,False,False,0.035679321736097336,0.0021295526530593634,0.02926670014858246,0.003447737544775009
Complex Gaussian,3,gaussian,False,True,False,False,False,0.049743007868528366,0.004357533063739538,0.04339549317955971,0.008133946917951107
Complex Gaussian,4,gaussian,False,True,False,False,False,0.06416481733322144,0.007690763566643,0.05977996066212654,0.015691231936216354
Complex Gaussian,5,gaussian,False,True,False,False,False,0.08550329506397247,0.016074785962700844,0.09361614286899567,0.07531941682100296
Complex Gaussian,6,gaussian,False,True,False,False,False,0.10622593015432358,0.032234206795692444,0.14474211633205414,0.5166178345680237
Complex Gaussian,7,gaussian,False,True,False,False,False,0.13009992241859436,0.04588950797915459,0.17018680274486542,0.26586487889289856
Complex Gaussian,8,gaussian,False,True,False,False,False,0.15710046887397766,0.09056005626916885,0.25667017698287964,0.9894407391548157
Complex Gaussian,9,gaussian,False,True,False,False,False,0.1928900182247162,0.24145536124706268,0.4519391655921936,6.599553108215332
Rademacher,1,rademacher,False,False,False,False,False,0.02051045373082161,0.0006924245390109718,0.01648472622036934,0.0010302359005436301
Rademacher,2,rademacher,False,False,False,False,False,0.029836175963282585,0.0015290234005078673,0.02527501992881298,0.002557202475145459
Rademacher,3,rademacher,False,False,False,False,False,0.038574595004320145,0.0026464140973985195,0.03403550758957863,0.004806274548172951
Rademacher,4,rademacher,False,False,False,False,False,0.0496206097304821,0.004586654249578714,0.046091772615909576,0.008845833130180836
Rademacher,5,rademacher,False,False,False,False,False,0.06262631714344025,0.008122827857732773,0.06481339037418365,0.018151409924030304
Rademacher,6,rademacher,False,False,False,False,False,0.07902567088603973,0.014252372086048126,0.08948364853858948,0.039157748222351074
Rademacher,7,rademacher,False,False,False,False,False,0.10121335089206696,0.024275097995996475,0.11845238506793976,0.06248987466096878
Rademacher,8,rademacher,False,False,False,False,False,0.12317798286676407,0.04087930545210838,0.16033250093460083,0.1253797560930252
Rademacher,9,rademacher,False,False,False,False,False,0.15984325110912323,0.07303722947835922,0.2179160714149475,0.21993005275726318
Complex Rademacher,1,rademacher,False,True,False,False,False,0.014285622164607048,0.0003391153004486114,0.011620516888797283,0.0005243633058853447
Complex Rademacher,2,rademacher,False,True,False,False,False,0.019619125872850418,0.0006515546701848507,0.016329267993569374,0.0010825538774952292
