p,proj,full_cov,complex_weights,complex_real,ahle,tree,err_mean,err_std
1,rademacher,False,True,False,True,True,0.00019593954493757337,0.00026928563602268696
2,rademacher,False,True,False,True,True,0.0006679306388832629,0.0010541904484853148
