dataset,method,degree,bias,proj,comp,comp_real,full_cov,hier,kernel_var,kernel_len,test_error,test_mnll,test_label_var,k_mse,k_mean_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,feature_dist,noise_var,feature_time,pred_time,seed
MNIST,srf,7.0,0.5,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.19139999151229858,0.6247002482414246,0.09000000357627869,0.6230544447898865,0.6304038166999817,0.6770865321159363,11779.4052734375,7.037893772125244,12.67531967163086,128.0,None,0.001,0.01804828643798828,0.03694868087768555,0.0
MNIST,poly_sketch,7.0,0.5,srht,0.0,0.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.3280999958515167,1.1422630548477173,0.09000000357627869,33.09130859375,1.7620428800582886,4.93444299697876,15167.6826171875,10.41408920288086,12.64024829864502,128.0,None,0.001,0.0476689338684082,0.04381370544433594,0.0
MNIST,poly_sketch,7.0,0.5,srht,0.0,1.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.23330000042915344,0.7777425646781921,0.09000000357627869,1.2366783618927002,0.7657436728477478,0.9539147615432739,12927.515625,8.055675506591797,12.651386260986328,128.0,None,0.001,0.12427783012390137,0.02529764175415039,0.0
MNIST,poly_sketch,7.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.24609999358654022,0.8026556372642517,0.09000000357627869,1.570549726486206,0.8922802209854126,1.0749964714050293,12859.140625,8.074440956115723,12.65981388092041,128.0,None,0.001,0.052847862243652344,0.02680063247680664,0.0
MNIST,srf,7.0,0.5,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.12209999561309814,0.3804604411125183,0.09000000357627869,0.30816319584846497,0.44302046298980713,0.4761804938316345,8424.6357421875,5.115631103515625,11.857160568237305,256.0,None,0.001,0.0201873779296875,0.05282330513000488,0.0
MNIST,poly_sketch,7.0,0.5,srht,0.0,0.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.19269999861717224,0.6527712345123291,0.09000000357627869,16.569089889526367,1.4069187641143799,3.4916481971740723,11165.3466796875,7.276493549346924,12.070940017700195,256.0,None,0.001,0.05478549003601074,0.05075645446777344,0.0
MNIST,poly_sketch,7.0,0.5,srht,0.0,1.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.1370999962091446,0.450187087059021,0.09000000357627869,1.277114987373352,0.7866247296333313,0.9693847298622131,8905.51953125,5.367886066436768,11.912694931030273,256.0,None,0.001,0.12717938423156738,0.05071449279785156,0.0
MNIST,poly_sketch,7.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.14019998908042908,0.46529021859169006,0.09000000357627869,0.870667040348053,0.6682487726211548,0.8004003167152405,8994.8076171875,5.540275573730469,11.876648902893066,256.0,None,0.001,0.058814287185668945,0.05150032043457031,0.0
MNIST,srf,7.0,0.5,gaussian,0.0,0.0,0.0,0.0,9.027409553527832,1.4142135381698608,0.07800000160932541,0.2490658164024353,0.09000000357627869,0.1848960965871811,0.3442012071609497,0.36884596943855286,5411.6708984375,3.5094966888427734,10.197602272033691,512.0,None,0.001,0.021111011505126953,0.10551977157592773,0.0
MNIST,poly_sketch,7.0,0.5,srht,0.0,0.0,1.0,0.0,9.027409553527832,1.4142135381698608,0.11339999735355377,0.3778323531150818,0.09000000357627869,0.9382166266441345,0.6095294952392578,0.8308693766593933,7364.96630859375,4.793605327606201,10.92675495147705,512.0,None,0.001,0.06075096130371094,0.10321712493896484,0.0
