D,bias,comp,dataset,degree,feature_dist,feature_time,hier,k_mean_error,k_mse,k_rel_frob_error,kernel_len,kernel_var,method,noise_var,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
1024.0,0.875,0.0,FashionMNIST,7.0,"[550, 353, 120]",0.05322551727294922,0.0,0.10384441167116165,0.015542387031018734,0.04480239748954773,2.8284270763397217,3.895010232925415,maclaurin,0.01,0.26656222343444824,rademacher,0.0,0.15240000188350677,1502.794189453125,0.09000000357627869,0.12759388983249664,0.44558754563331604,0.0053815050050616264
1024.0,0.875,1.0,FashionMNIST,7.0,"[589, 335, 99]",0.16792535781860352,0.0,0.042482320219278336,0.0029825109522789717,0.0196260716766119,2.8284270763397217,3.895010232925415,maclaurin,0.01,0.7675981521606445,rademacher,0.0,0.15039999783039093,856.0892944335938,0.09000000357627869,0.07101714611053467,0.4330635666847229,0.005037451628595591
1024.0,0.875,0.0,FashionMNIST,7.0,"[550, 353, 120]",0.06328344345092773,0.0,0.07271295040845871,0.007659366354346275,0.03145131096243858,2.8284270763397217,3.895010232925415,maclaurin,0.01,0.2565479278564453,srht,0.0,0.15109999477863312,1242.1510009765625,0.09000000357627869,0.10779355466365814,0.4414960443973541,0.004188593477010727
1024.0,0.875,1.0,FashionMNIST,7.0,"[589, 335, 99]",0.13919520378112793,0.0,0.033531710505485535,0.001743946224451065,0.015007519163191319,2.8284270763397217,3.895010232925415,maclaurin,0.01,0.7697043418884277,srht,0.0,0.15109999477863312,725.8981323242188,0.09000000357627869,0.0601346455514431,0.43034011125564575,0.003935342188924551
1024.0,0.875,0.0,FashionMNIST,7.0,"[687, 273, 63]",0.21676206588745117,0.0,0.06405869871377945,0.006903077941387892,0.029858209192752838,2.8284270763397217,3.895010232925415,maclaurin,0.01,0.27228689193725586,countsketch_scatter,0.0,0.1607999950647354,1933.498291015625,0.09000000357627869,0.15647515654563904,0.46245622634887695,0.009698878973722458
1024.0,0.875,0.0,FashionMNIST,7.0,None,0.14133262634277344,0.0,0.19111895561218262,0.058355361223220825,0.0868125930428505,2.8284270763397217,3.895010232925415,poly_sketch,0.01,0.25713014602661133,rademacher,0.0,0.15150000154972076,2265.639404296875,0.09000000357627869,0.1801338642835617,0.44421228766441345,0.008545886725187302
1024.0,0.875,1.0,FashionMNIST,7.0,None,0.49694061279296875,0.0,0.05956855043768883,0.005639375187456608,0.02698720060288906,2.8284270763397217,3.895010232925415,poly_sketch,0.01,0.7686052322387695,rademacher,0.0,0.14790000021457672,949.486328125,0.09000000357627869,0.07552162557840347,0.42570996284484863,0.005726972594857216
1024.0,0.875,0.0,FashionMNIST,7.0,None,0.06594610214233398,0.0,0.12866215407848358,0.029887039214372635,0.0621274895966053,2.8284270763397217,3.895010232925415,poly_sketch,0.01,0.25700926780700684,srht,0.0,0.1501999944448471,2230.470703125,0.09000000357627869,0.1751512885093689,0.4428715109825134,0.009234867058694363
1024.0,0.875,1.0,FashionMNIST,7.0,None,0.16690659523010254,0.0,0.10773313790559769,0.0178725216537714,0.04804357513785362,2.8284270763397217,3.895010232925415,poly_sketch,0.01,0.7686607837677002,srht,0.0,0.1453000009059906,941.6876220703125,0.09000000357627869,0.07436490058898926,0.4220955967903137,0.005580794997513294
1024.0,0.875,0.0,FashionMNIST,7.0,None,0.07686114311218262,0.0,2.7478156089782715,7.743105411529541,0.9999998807907104,2.8284270763397217,3.895010232925415,poly_sketch,0.01,0.2936098575592041,countsketch_scatter,0.0,0.7918999791145325,145202.875,0.09000000357627869,4.015390396118164,2.2548258304595947,0.08976496756076813
2048.0,0.875,0.0,FashionMNIST,7.0,"[1101, 706, 240]",0.10403823852539062,0.0,0.1187257394194603,0.01824490912258625,0.04854150116443634,2.8284270763397217,3.895010232925415,maclaurin,0.01,0.9865577220916748,rademacher,0.0,0.141199991106987,782.5056762695312,0.09000000357627869,0.06846430152654648,0.4160211384296417,0.0019275054801255465
2048.0,0.875,1.0,FashionMNIST,7.0,"[1178, 671, 198]",0.29146599769592285,0.0,0.03343593329191208,0.0017454447224736214,0.015013964846730232,2.8284270763397217,3.895010232925415,maclaurin,0.01,2.7196478843688965,rademacher,0.0,0.14149999618530273,417.1393127441406,0.09000000357627869,0.03571636229753494,0.40983206033706665,0.002055596327409148
2048.0,0.875,0.0,FashionMNIST,7.0,"[1024, 764, 259]",0.07895565032958984,0.0,0.02628585509955883,0.0011095281224697828,0.011970478110015392,2.8284270763397217,3.895010232925415,maclaurin,0.01,0.9678044319152832,srht,0.0,0.14409999549388885,601.2382202148438,0.09000000357627869,0.05322595685720444,0.41108089685440063,0.0012961052125319839
2048.0,0.875,1.0,FashionMNIST,7.0,"[1024, 790, 233]",0.15838885307312012,0.0,0.013497387059032917,0.00028613043832592666,0.006078891921788454,2.8284270763397217,3.895010232925415,maclaurin,0.01,2.721083164215088,srht,0.0,0.14159999787807465,301.923828125,0.09000000357627869,0.026094794273376465,0.4064335823059082,0.0011043914128094912
2048.0,0.875,0.0,FashionMNIST,7.0,"[1375, 546, 126]",0.40492916107177734,0.0,0.07912246882915497,0.008704746142029762,0.03352898731827736,2.8284270763397217,3.895010232925415,maclaurin,0.01,1.0333917140960693,countsketch_scatter,0.0,0.15609999001026154,1446.0023193359375,0.09000000357627869,0.1190047338604927,0.4507438838481903,0.007006180938333273
