D,bias,comp,dataset,degree,feature_dist,hier,k_mean_error,k_mse,k_rel_frob_error,kernel_len,kernel_var,method,noise_var,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
40.0,0.0,0.0,Concrete,0.0,None,0.0,22.29400062561035,869.70654296875,0.17111729085445404,3.6934244632720947,282.138427734375,rff,0.00390625,0.005114555358886719,gaussian,0.0,56.83147430419922,,279.6703186035156,91.8134765625,6736.29638671875,
40.0,0.0,0.0,Concrete,0.0,None,0.0,21.489398956298828,757.8125610351562,0.1597307026386261,3.6934244632720947,282.138427734375,rff,0.0078125,0.008699655532836914,gaussian,0.0,59.11109161376953,536486.625,279.6703186035156,63.877105712890625,3483.34912109375,0.0163287241011858
40.0,0.0,0.0,Concrete,0.0,None,0.0,24.040700912475586,1024.7216796875,0.18574215471744537,3.6934244632720947,282.138427734375,rff,0.015625,0.01327657699584961,gaussian,0.0,66.3336410522461,299303.75,279.6703186035156,61.60139083862305,1943.396728515625,0.024796361103653908
40.0,0.0,0.0,Concrete,0.0,None,0.0,22.850765228271484,1025.3121337890625,0.18579566478729248,3.6934244632720947,282.138427734375,rff,0.03125,0.00545191764831543,gaussian,0.0,80.23224639892578,232907.5625,279.6703186035156,73.46151733398438,1200.1324462890625,0.039328571408987045
40.0,0.0,0.0,Concrete,0.0,None,0.0,29.247575759887695,1425.9443359375,0.21910828351974487,3.6934244632720947,282.138427734375,rff,0.0625,0.009952783584594727,gaussian,0.0,68.38166046142578,107414.21875,279.6703186035156,57.00303649902344,509.8340148925781,0.06388775259256363
40.0,0.0,0.0,Concrete,0.0,None,0.0,24.013965606689453,948.5404052734375,0.17870448529720306,3.6934244632720947,282.138427734375,rff,0.125,0.017557621002197266,gaussian,0.0,71.04043579101562,52397.26171875,279.6703186035156,47.418304443359375,263.8575134277344,0.10571632534265518
40.0,0.0,0.0,Concrete,0.0,None,0.0,19.695215225219727,734.968994140625,0.1573048233985901,3.6934244632720947,282.138427734375,rff,0.25,0.006948947906494141,gaussian,0.0,87.98817443847656,41856.1875,279.6703186035156,63.760807037353516,163.79483032226562,0.18219244480133057
40.0,0.0,0.0,Concrete,0.0,None,0.0,22.387008666992188,919.72998046875,0.17596961557865143,3.6934244632720947,282.138427734375,rff,0.5,0.0069735050201416016,gaussian,0.0,69.40296173095703,19504.259765625,279.6703186035156,42.42915725708008,66.15744018554688,0.32693490386009216
40.0,0.0,0.0,Concrete,0.0,None,0.0,22.759441375732422,1008.117919921875,0.1842312067747116,3.6934244632720947,282.138427734375,rff,1.0,0.006254673004150391,gaussian,0.0,70.55974578857422,7820.4345703125,279.6703186035156,34.076534271240234,34.031192779541016,0.5677222013473511
40.0,0.0,0.0,Concrete,0.0,None,0.0,20.807954788208008,716.3115234375,0.15529535710811615,3.6934244632720947,282.138427734375,rff,2.0,0.01790785789489746,gaussian,0.0,69.11373901367188,3993.32470703125,279.6703186035156,30.43196678161621,17.32103157043457,1.0608055591583252
40.0,0.0,0.0,Concrete,0.0,None,0.0,22.958709716796875,928.466796875,0.17680342495441437,3.6934244632720947,282.138427734375,rff,4.0,0.0158536434173584,gaussian,0.0,62.16349411010742,2169.447509765625,279.6703186035156,23.789615631103516,9.055864334106445,1.8625571727752686
40.0,0.0,0.0,Concrete,0.0,None,0.0,24.442663192749023,1092.48974609375,0.19178569316864014,3.6934244632720947,282.138427734375,rff,8.0,0.013573884963989258,gaussian,0.0,76.19434356689453,1511.2047119140625,279.6703186035156,30.648771286010742,6.482789516448975,3.295743227005005
40.0,0.0,0.0,Concrete,0.0,None,0.0,23.039939880371094,879.5989990234375,0.17208771407604218,3.6934244632720947,282.138427734375,rff,16.0,0.015932321548461914,gaussian,0.0,67.51541137695312,537.2625122070312,279.6703186035156,16.745464324951172,4.3361897468566895,5.236677169799805
40.0,0.0,0.0,Concrete,0.0,None,0.0,27.234142303466797,1156.548095703125,0.19732828438282013,3.6934244632720947,282.138427734375,rff,32.0,0.005478858947753906,gaussian,0.0,64.61336517333984,206.8763427734375,279.6703186035156,10.502961158752441,3.6331944465637207,9.491565704345703
40.0,0.0,0.0,Concrete,0.0,None,0.0,28.105501174926758,1410.75390625,0.21793809533119202,3.6934244632720947,282.138427734375,rff,64.0,0.009221792221069336,gaussian,0.0,77.24251556396484,185.9814453125,279.6703186035156,21.355045318603516,3.592832565307617,18.598302841186523
40.0,0.0,0.0,Concrete,0.0,None,0.0,18.546287536621094,569.416259765625,0.13845939934253693,3.6934244632720947,282.138427734375,rff,128.0,0.015372514724731445,gaussian,0.0,80.86772918701172,88.51210021972656,279.6703186035156,17.75978660583496,3.663022518157959,23.816421508789062
40.0,0.0,0.0,Concrete,0.0,None,0.0,24.764835357666016,1029.416015625,0.18616710603237152,3.6934244632720947,282.138427734375,rff,256.0,0.011804580688476562,gaussian,0.0,93.24983215332031,60.9512939453125,279.6703186035156,17.973365783691406,3.8811631202697754,43.572662353515625
40.0,0.0,0.0,Concrete,0.0,None,0.0,25.65530776977539,1225.3096923828125,0.20310959219932556,3.6934244632720947,282.138427734375,rff,512.0,0.014516592025756836,gaussian,0.0,103.17488098144531,40.63341522216797,279.6703186035156,14.658917427062988,4.148152828216553,50.119686126708984
40.0,0.0,0.0,Concrete,0.0,None,0.0,19.652437210083008,679.890625,0.15129585564136505,3.6934244632720947,282.138427734375,rff,1024.0,0.007952690124511719,gaussian,0.0,92.8754653930664,13.001949310302734,279.6703186035156,6.227141857147217,4.438076019287109,91.43439483642578
