seed,N,D,num_clusters,lengthscale_mult,lengthscale,kernel_var,noise_var,method,proj,ctr,feature_dist,mse,rmse,smse,test_kl,test_mnll,test_mean_mse,test_var_mse,cluster_time_ms,test_feature_time_ms
0.0,200.0,32.0,,0.125,0.3206203281879425,1721.4627685546875,7.3890581130981445,rff,gaussian,0.0,None,166.52798461914062,12.904572236968594,0.7415442913863997,420.4747619628906,10.858213424682617,104.70561981201172,40.392459869384766,0.22694100061926292,0.29117199937900295
0.0,200.0,32.0,,0.125,0.3206203281879425,1721.4627685546875,7.3890581130981445,rff,srht,0.0,None,89.38021850585938,9.454111195974976,0.3980075237652936,261.2896728515625,6.8368730545043945,73.10218811035156,41.742576599121094,0.22694100061926292,0.5158930007382878
0.0,200.0,32.0,,0.125,0.3206203281879425,1721.4627685546875,7.3890581130981445,maclaurin,rademacher,0.0,"[9, 10, 12]",177.4890899658203,13.322503141895682,0.7903537759646513,531.9332275390625,13.403587341308594,117.87734985351562,50.95871353149414,0.22694100061926292,0.8867370006555575
0.0,200.0,32.0,118,0.125,0.3206203281879425,1721.4627685546875,7.3890581130981445,maclaurin,rademacher,0.0,"[9, 10, 12]",57.79913330078125,7.602574123333573,0.25737786621450237,33.12700271606445,4.120502471923828,9.444352149963379,3.4525318145751953,0.22694100061926292,57.46679799813137
0.0,200.0,32.0,,0.125,0.3206203281879425,1721.4627685546875,7.3890581130981445,maclaurin,srht,0.0,"[8, 10, 13]",172.24205017089844,13.124101880543995,0.7669888597585234,508.5494689941406,13.143607139587402,114.47222900390625,50.23551559448242,0.22694100061926292,1.4241700000638957
0.0,200.0,32.0,118,0.125,0.3206203281879425,1721.4627685546875,7.3890581130981445,maclaurin,srht,0.0,"[8, 10, 13]",48.64906311035156,6.974888035685703,0.21663286872344337,23.504600524902344,3.7053942680358887,7.202297210693359,1.9708915948867798,0.22694100061926292,97.9445749990191
0.0,200.0,64.0,,0.125,0.3206203281879425,1721.4627685546875,7.3890581130981445,rff,gaussian,0.0,None,68.85948181152344,8.29816135125869,0.3066292777273649,145.14389038085938,5.023212432861328,50.08859634399414,22.591218948364258,0.22694100061926292,0.3006490005645901
0.0,200.0,64.0,,0.125,0.3206203281879425,1721.4627685546875,7.3890581130981445,rff,srht,0.0,None,38.67661666870117,6.219052714738891,0.17222585360898504,35.153533935546875,3.7940244674682617,9.063002586364746,25.716951370239258,0.22694100061926292,0.5298469995977939
0.0,200.0,64.0,,0.125,0.3206203281879425,1721.4627685546875,7.3890581130981445,maclaurin,rademacher,0.0,"[13, 14, 17, 19]",167.77955627441406,12.952974804052314,0.7471175037107526,448.7978515625,12.551624298095703,100.60292053222656,43.026123046875,0.22694100061926292,1.0291989992765593
0.0,200.0,64.0,118,0.125,0.3206203281879425,1721.4627685546875,7.3890581130981445,maclaurin,rademacher,0.0,"[13, 14, 17, 19]",40.06006622314453,6.329302190853627,0.17838631439799177,15.015066146850586,3.4242000579833984,4.386662483215332,0.2546384334564209,0.22694100061926292,68.39878599839722
0.0,200.0,64.0,,0.125,0.3206203281879425,1721.4627685546875,7.3890581130981445,maclaurin,srht,0.0,"[8, 13, 19, 23]",167.55633544921875,12.944355350855398,0.7461235078426063,459.6412353515625,12.556244850158691,103.90218353271484,44.50514602661133,0.22694100061926292,1.8626679993758444
0.0,200.0,64.0,118,0.125,0.3206203281879425,1721.4627685546875,7.3890581130981445,maclaurin,srht,0.0,"[8, 13, 19, 23]",43.122901916503906,6.566803020991562,0.19202503301372223,11.183954238891602,3.501913547515869,3.150477409362793,0.164481520652771,0.22694100061926292,131.621663002079
0.0,200.0,128.0,,0.125,0.3206203281879425,1721.4627685546875,7.3890581130981445,rff,gaussian,0.0,None,35.68920135498047,5.974043969957073,0.15892297975894462,22.059925079345703,3.544015407562256,7.806002616882324,10.657195091247559,0.22694100061926292,0.2663829991433886
0.0,200.0,128.0,,0.125,0.3206203281879425,1721.4627685546875,7.3890581130981445,rff,srht,0.0,None,38.591041564941406,6.212168829397782,0.17184479015095433,9.76459789276123,3.595048189163208,2.4350788593292236,11.471234321594238,0.22694100061926292,0.4916100006084889
0.0,200.0,128.0,,0.125,0.3206203281879425,1721.4627685546875,7.3890581130981445,maclaurin,rademacher,0.0,"[20, 21, 26, 30, 30]",143.02401733398438,11.95926491612191,0.6368818059482795,408.1624450683594,10.982276916503906,91.10919189453125,40.00754165649414,0.22694100061926292,1.2089760002709227
0.0,200.0,128.0,118,0.125,0.3206203281879425,1721.4627685546875,7.3890581130981445,maclaurin,rademacher,0.0,"[20, 21, 26, 30, 30]",37.839271545410156,6.15136338915286,0.1684971800318875,5.597953796386719,3.3286895751953125,1.6578855514526367,0.19290348887443542,0.22694100061926292,80.21556000767305
0.0,200.0,128.0,,0.125,0.3206203281879425,1721.4627685546875,7.3890581130981445,maclaurin,srht,0.0,"[8, 10, 14, 17, 18, 17, 15, 14, 14]",135.15394592285156,11.625572928800178,0.6018366059413489,355.0516662597656,9.957277297973633,78.6037368774414,36.9620475769043,0.22694100061926292,5.614130999674671
0.0,200.0,128.0,118,0.125,0.3206203281879425,1721.4627685546875,7.3890581130981445,maclaurin,srht,0.0,"[8, 10, 14, 17, 18, 17, 15, 14, 14]",32.79607009887695,5.726785319782553,0.1460399500861737,2.1903486251831055,3.1888701915740967,0.5173200964927673,0.20585091412067413,0.22694100061926292,392.5455399976272
