seed,N,D,num_clusters,lengthscale_mult,lengthscale,kernel_var,noise_var,method,proj,ctr,feature_dist,mse,rmse,smse,test_kl,test_mnll,test_mean_mse,test_var_mse,cluster_time_ms,test_feature_time_ms
0.0,10000.0,32.0,,0.125,2.150360584259033,0.0696360394358635,0.1353352814912796,rff,gaussian,0.0,None,0.031228728592395782,0.17671652042861127,0.45759640564922,44.614219665527344,0.03590531274676323,0.015311183407902718,3.194859527866356e-05,0.5160450000403216,0.4308659999878728
0.0,10000.0,32.0,,0.125,2.150360584259033,0.0696360394358635,0.1353352814912796,rff,srht,0.0,None,0.04248728230595589,0.20612443403428882,0.6225686585826381,74.86520385742188,0.07664788514375687,0.02571241743862629,3.5623350413516164e-05,0.5160450000403216,0.667186000100628
0.0,10000.0,32.0,,0.125,2.150360584259033,0.0696360394358635,0.1353352814912796,maclaurin,rademacher,0.0,"[16, 15]",0.03471820428967476,0.1863282165687064,0.5087278992657734,52.63433837890625,0.048408858478069305,0.01805732399225235,3.4360928111709654e-05,0.5160450000403216,1.4043800001672935
0.0,10000.0,32.0,7373,0.125,2.150360584259033,0.0696360394358635,0.1353352814912796,maclaurin,rademacher,0.0,"[16, 15]",0.03957490622997284,0.19893442696017408,0.5798934398229114,74.79119110107422,0.07094825804233551,0.02588263340294361,1.2637230611289851e-05,0.5160450000403216,726.5371379976386
0.0,10000.0,32.0,,0.125,2.150360584259033,0.0696360394358635,0.1353352814912796,maclaurin,srht,0.0,"[8, 23]",0.029040560126304626,0.17041291067963316,0.4255330437971433,38.913360595703125,0.0278457123786211,0.013349635526537895,3.311180626042187e-05,0.5160450000403216,1.3503730001502845
0.0,10000.0,32.0,7373,0.125,2.150360584259033,0.0696360394358635,0.1353352814912796,maclaurin,srht,0.0,"[8, 23]",0.033555060625076294,0.18318040458814444,0.4916842864078513,58.3411865234375,0.05021257326006889,0.020220216363668442,8.655094461573754e-06,0.5160450000403216,989.3658220048565
0.0,10000.0,64.0,,0.125,2.150360584259033,0.0696360394358635,0.1353352814912796,rff,gaussian,0.0,None,0.030050821602344513,0.17335172800507215,0.4403364649109409,42.48087692260742,0.03293392434716225,0.014588776975870132,2.6127951059606858e-05,0.5160450000403216,0.394661999962409
0.0,10000.0,64.0,,0.125,2.150360584259033,0.0696360394358635,0.1353352814912796,rff,srht,0.0,None,0.02792799472808838,0.16711670990086053,0.4092305572656418,35.459712982177734,0.02533225156366825,0.012169962748885155,2.5553974410286173e-05,0.5160450000403216,0.6348500000967761
0.0,10000.0,64.0,,0.125,2.150360584259033,0.0696360394358635,0.1353352814912796,maclaurin,rademacher,0.0,"[33, 30]",0.027438998222351074,0.16564721012546837,0.40206526256789654,33.61238098144531,0.022193334996700287,0.011532415635883808,3.228771674912423e-05,0.5160450000403216,1.067291999788722
0.0,10000.0,64.0,7373,0.125,2.150360584259033,0.0696360394358635,0.1353352814912796,maclaurin,rademacher,0.0,"[33, 30]",0.029486065730452538,0.17171507135499942,0.43206106374363284,47.32943344116211,0.035914912819862366,0.01637277752161026,7.621732493134914e-06,0.5160450000403216,740.4966290046104
