D,alpha,bias,comp,dataset,degree,dist_est_time,dummy_error,dummy_mnll,est_len,feature_dist,hier,k_mean_error,k_mean_rel_error,k_mse,k_rel_frob_error,kernel_len,kernel_var,method,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
16.0,0.1,0.875,0.0,Magic,20.0,2.1457672119140625e-06,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.5466200113296509,6.187487602233887,0.4694707989692688,1.0285117626190186,2.8284270763397217,2.679077625274658,srf,0.07349753379821777,gaussian,0.0,0.28391164541244507,11970.482421875,0.25,1.0231964588165283,0.5638644099235535,0.024713052436709404
16.0,0.1,0.875,1.0,Magic,20.0,9.5367431640625e-07,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.39134112000465393,4.220569610595703,0.23477089405059814,0.7273226380348206,2.8284270763397217,2.679077625274658,srf,0.09108281135559082,gaussian,0.0,0.23554152250289917,10194.041015625,0.25,0.8755585551261902,0.509148120880127,0.024712538346648216
16.0,0.1,0.875,0.0,Magic,20.0,9.5367431640625e-07,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.4398661255836487,5.566805362701416,0.3168129622936249,0.8449022173881531,2.8284270763397217,2.679077625274658,srf,0.0543828010559082,srht,0.0,0.2718191146850586,11009.861328125,0.25,0.9513280391693115,0.5378268361091614,0.02471444010734558
16.0,0.1,0.875,1.0,Magic,20.0,9.5367431640625e-07,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.2872931659221649,3.950216054916382,0.14459915459156036,0.5708051323890686,2.8284270763397217,2.679077625274658,srf,0.09862232208251953,srht,0.0,0.2318611890077591,8212.8056640625,0.25,0.7079704403877258,0.48518669605255127,0.02476639673113823
16.0,0.1,0.875,0.0,Magic,20.0,0.4552609920501709,0.36330175399780273,0.6556615829467773,2.82842712474619,"[6, 9]",0.0,0.28770577907562256,2.8508846759796143,0.14663855731487274,0.5748163461685181,2.8284270763397217,2.679077625274658,maclaurin,0.10849547386169434,rademacher,0.0,0.18033647537231445,6710.544921875,0.25,0.43311798572540283,0.41640734672546387,0.024573776870965958
16.0,0.1,0.875,1.0,Magic,20.0,0.44081711769104004,0.36330175399780273,0.6556615829467773,2.82842712474619,"[6, 9]",0.0,0.2259724736213684,2.474144697189331,0.09785804152488708,0.46957314014434814,2.8284270763397217,2.679077625274658,maclaurin,0.1540515422821045,rademacher,0.0,0.23764456808567047,10141.943359375,0.25,0.8756653666496277,0.5118484497070312,0.024602804332971573
16.0,0.1,0.875,0.0,Magic,20.0,0.548386812210083,0.36330175399780273,0.6556615829467773,2.82842712474619,"[6, 9]",0.0,0.2601572871208191,2.792180299758911,0.11808177828788757,0.5158179402351379,2.8284270763397217,2.679077625274658,maclaurin,0.11221790313720703,srht,0.0,0.19295477867126465,7502.4326171875,0.25,0.49411630630493164,0.43210703134536743,0.024563275277614594
16.0,0.1,0.875,1.0,Magic,20.0,0.516106367111206,0.36330175399780273,0.6556615829467773,2.82842712474619,"[6, 9]",0.0,0.17502330243587494,1.547372817993164,0.06304826587438583,0.3769133985042572,2.8284270763397217,2.679077625274658,maclaurin,0.1631927490234375,srht,0.0,0.19978968799114227,7671.974609375,0.25,0.5470457077026367,0.4418058395385742,0.024663517251610756
16.0,0.1,0.875,0.0,Magic,20.0,0.41259026527404785,0.36330175399780273,0.6556615829467773,2.82842712474619,"[7, 8]",0.0,0.3452651798725128,4.590516090393066,0.20500518381595612,0.6796532273292542,2.8284270763397217,2.679077625274658,maclaurin,0.1275620460510254,countsketch_scatter,0.0,0.1666666567325592,6102.380859375,0.25,0.4097806513309479,0.4096040427684784,0.0246632881462574
16.0,0.1,0.875,0.0,Magic,20.0,9.5367431640625e-07,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.4131118953227997,1.0050026178359985,1.401348352432251,1.7769616842269897,2.8284270763397217,2.679077625274658,ts,0.0670623779296875,rademacher,0.0,0.30441638827323914,14261.955078125,0.25,1.002591609954834,0.5475594997406006,0.024452798068523407
16.0,0.1,0.875,1.0,Magic,20.0,1.430511474609375e-06,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.31932613253593445,1.4796373844146729,0.28095632791519165,0.795654296875,2.8284270763397217,2.679077625274658,ts,0.15134024620056152,rademacher,0.0,0.22712932527065277,8408.619140625,0.25,0.6821631193161011,0.47957155108451843,0.02461658976972103
16.0,0.1,0.875,0.0,Magic,20.0,1.1920928955078125e-06,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.6381897330284119,1.6422886848449707,15.852952003479004,5.976680755615234,2.8284270763397217,2.679077625274658,ts,0.08335304260253906,srht,0.0,0.28338590264320374,12940.5322265625,0.25,1.0081454515457153,0.5492767691612244,0.024361927062273026
16.0,0.1,0.875,1.0,Magic,20.0,9.5367431640625e-07,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.5291395783424377,2.0312516689300537,2.255967617034912,2.254610061645508,2.8284270763397217,2.679077625274658,ts,0.21709895133972168,srht,0.0,0.19348053634166718,7712.7626953125,0.25,0.5717737674713135,0.454969197511673,0.02463044784963131
16.0,0.1,0.875,0.0,Magic,20.0,9.5367431640625e-07,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.37077999114990234,1.6296857595443726,0.42359355092048645,0.9769664406776428,2.8284270763397217,2.679077625274658,ts,0.12719941139221191,countsketch_scatter,0.0,0.2634069323539734,11582.3203125,0.25,0.9895693063735962,0.5478701591491699,0.024538487195968628
16.0,0.1,0.875,0.0,Magic,20.0,1.430511474609375e-06,0.36330175399780273,0.6556615829467773,2.82842712474619,None,1.0,0.37955889105796814,1.2694103717803955,0.3323642909526825,0.8653905391693115,2.8284270763397217,2.679077625274658,ts,0.14983701705932617,srht,0.0,0.32544687390327454,13625.9326171875,0.25,1.109001874923706,0.6042766571044922,0.02463272586464882
16.0,0.1,0.875,1.0,Magic,20.0,9.5367431640625e-07,0.36330175399780273,0.6556615829467773,2.82842712474619,None,1.0,0.33208519220352173,1.5452048778533936,0.2431212067604065,0.7401443123817444,2.8284270763397217,2.679077625274658,ts,0.41265177726745605,srht,0.0,0.25657200813293457,8797.36328125,0.25,0.7266893982887268,0.5067114233970642,0.024711506441235542
16.0,0.1,0.875,0.0,Magic,20.0,1.1920928955078125e-06,0.36330175399780273,0.6556615829467773,2.82842712474619,None,1.0,1.2005298137664795,4.662562370300293,13.437234878540039,5.502498626708984,2.8284270763397217,2.679077625274658,ts,0.2169511318206787,countsketch_scatter,0.0,0.2739221751689911,16097.171875,0.25,0.9865225553512573,0.5161685943603516,0.024524429813027382
32.0,0.1,0.875,0.0,Magic,20.0,1.1920928955078125e-06,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.36869168281555176,4.518170356750488,0.21118763089179993,0.6898254752159119,2.8284270763397217,2.679077625274658,srf,0.04495954513549805,gaussian,0.0,0.2003154456615448,6808.484375,0.25,0.5493862628936768,0.45224055647850037,0.023588791489601135
32.0,0.1,0.875,1.0,Magic,20.0,1.1920928955078125e-06,0.36330175399780273,0.6556615829467773,2.82842712474619,None,0.0,0.2466943860054016,3.1603500843048096,0.09467509388923645,0.46187329292297363,2.8284270763397217,2.679077625274658,srf,0.10801196098327637,gaussian,0.0,0.18717138469219208,5405.951171875,0.25,0.4297870099544525,0.43097448348999023,0.023590078577399254
