,Unnamed: 0,D,alpha,bias,comp,dataset,degree,dist_est_time,dummy_error,dummy_mnll,est_len,feature_dist,hier,k_mean_error,k_mean_rel_error,k_mse,k_rel_frob_error,k_rel_frob_error_comp,kernel_len,kernel_var,method,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
0,0,1024.0,0.01,0.875,0.0,FashionMNIST,20.0,1.6689300537109375e-06,0.8999999761581421,2.302584886550904,2.82842712474619,None,0.0,0.12038827687501907,0.5916898250579834,0.033247832208871834,0.31758758425712585,0.0,2.8284270763397217,3.895009994506837,maclaurin_p,0.8850686550140381,rademacher,0.0,0.1508999913930893,2646.552490234375,0.09000001102685927,0.6108909845352173,0.43701717257499695,1.330152988433838
1,1,1024.0,0.01,0.875,0.0,FashionMNIST,20.0,9.5367431640625e-07,0.8999999761581421,2.302584886550904,2.82842712474619,None,0.0,0.1243949607014656,0.655536949634552,0.03243590146303177,0.313685804605484,0.0,2.8284270763397217,3.895009994506837,maclaurin_p,1.1664352416992188,srht,0.0,0.15410000085830688,2513.9765625,0.09000001102685927,0.6086036562919617,0.4403792023658752,1.272586464881897
2,2,1024.0,0.01,0.875,0.0,FashionMNIST,20.0,9.5367431640625e-07,0.8999999761581421,2.302584886550904,2.82842712474619,None,0.0,0.09798119962215424,0.5258275866508484,0.015089904889464378,0.2139563262462616,0.0,2.8284270763397217,3.895009994506837,srf,0.9557461738586426,gaussian,0.0,0.15359999239444733,1976.576171875,0.09000001102685927,0.6779766082763672,0.4429944157600403,0.9365409016609192
3,3,1024.0,0.01,0.875,1.0,FashionMNIST,20.0,9.5367431640625e-07,0.8999999761581421,2.302584886550904,2.82842712474619,None,0.0,0.06662488728761673,0.3468860387802124,0.006993619725108147,0.1456575095653534,0.2069499492645264,2.8284270763397217,3.895009994506837,srf,3.13985538482666,gaussian,0.0,0.1451999992132187,1461.4666748046875,0.09000001102685927,0.38754284381866455,0.4153611361980438,0.9343493580818176
4,4,1024.0,0.01,0.875,0.0,FashionMNIST,20.0,1.1920928955078123e-06,0.8999999761581421,2.302584886550904,2.82842712474619,None,0.0,0.09076228737831116,0.4913414716720581,0.013054694980382921,0.1990055590867996,0.0,2.8284270763397217,3.895009994506837,srf,0.8494541645050049,srht,0.0,0.15119999647140506,1980.0576171875,0.09000001102685927,0.6820147633552551,0.443252295255661,0.9313307404518129
5,5,1024.0,0.01,0.875,1.0,FashionMNIST,20.0,9.5367431640625e-07,0.8999999761581421,2.302584886550904,2.82842712474619,None,0.0,0.06470823287963867,0.3637599050998688,0.0067711868323385715,0.14332246780395508,0.2024773806333542,2.8284270763397217,3.895009994506837,srf,2.889362335205078,srht,0.0,0.1437000036239624,1419.0140380859375,0.09000001102685927,0.3688907027244568,0.4141750037670136,0.9303990602493286
6,6,1024.0,0.01,0.875,0.0,FashionMNIST,20.0,14.300330638885498,0.8999999761581421,2.302584886550904,2.82842712474619,"[250, 390, 383]",0.0,0.07852385193109512,0.4134968519210816,0.010541459545493126,0.17882664501667025,0.0,2.8284270763397217,3.895009994506837,maclaurin,0.8171768188476562,rademacher,0.0,0.1508999913930893,2186.27587890625,0.09000001102685927,0.5113487243652344,0.4318396747112274,1.1977380514144895
7,7,1024.0,0.01,0.875,1.0,FashionMNIST,20.0,14.663658857345581,0.8999999761581421,2.302584886550904,2.82842712474619,"[267, 395, 361]",0.0,0.05685532465577125,0.2714323699474335,0.006078162230551243,0.13579007983207705,0.17531947791576385,2.8284270763397217,3.895009994506837,maclaurin,3.3082306385040283,rademacher,0.0,0.14019998908042908,1824.0418701171875,0.09000001102685927,0.30774983763694763,0.40229663252830505,1.196641445159912
8,8,1024.0,0.01,0.875,0.0,FashionMNIST,20.0,14.96367335319519,0.8999999761581421,2.302584886550904,2.82842712474619,"[251, 390, 382]",0.0,0.0808548703789711,0.4020099639892578,0.011908904649317265,0.19007183611392967,0.0,2.8284270763397217,3.895009994506837,maclaurin,1.2792017459869385,srht,0.0,0.1454000025987625,2156.044189453125,0.09000001102685927,0.5061091184616089,0.429466187953949,1.1838558912277222
9,9,1024.0,0.01,0.875,1.0,FashionMNIST,20.0,14.4407377243042,0.8999999761581421,2.302584886550904,2.82842712474619,"[267, 395, 361]",0.0,0.05585594102740288,0.3019951283931732,0.0058353603817522534,0.13305026292800906,0.17166967689990995,2.8284270763397217,3.895009994506837,maclaurin,3.439267158508301,srht,0.0,0.14019998908042908,1787.0731201171875,0.09000001102685927,0.30158281326293945,0.4061855971813202,1.1788914203643799
10,10,1024.0,0.01,0.875,0.0,FashionMNIST,20.0,14.768885374069214,0.8999999761581421,2.302584886550904,2.82842712474619,"[298, 392, 333]",0.0,0.08286072313785553,0.4606474339962006,0.01222605723887682,0.19258616864681244,0.0,2.8284270763397217,3.895009994506837,maclaurin,1.501500368118286,countsketch_scatter,0.0,0.1459999978542328,2187.748046875,0.09000001102685927,0.5008878111839294,0.4280327558517456,1.21927011013031
11,11,1024.0,0.01,0.875,0.0,FashionMNIST,20.0,9.5367431640625e-07,0.8999999761581421,2.302584886550904,2.82842712474619,None,0.0,0.11504854261875153,0.24238069355487826,0.07595674693584442,0.4800263047218323,0.0,2.8284270763397217,3.895009994506837,poly_sketch,1.1503493785858154,rademacher,0.0,0.16339999437332153,2902.143798828125,0.09000001102685927,0.7278695702552795,0.4833512604236603,1.264236330986023
