feature_time_ms,mean,method,metric_time_ms,n,std,D,complex_real,full_cov,proj
129548.86168499979,-2.9320716857910157e-05,block-mmd,115.58706000141683,100.0,0.00445484312351015,,,,
129548.86168499979,-0.0001437997817993164,block-mmd,307.2250709992659,1000.0,0.00035353251823602293,,,,
129548.86168499979,-2.6612281799316407e-05,block-mmd,4700.684588999138,5000.0,6.748210160719746e-05,,,,
129548.86168499979,-3.290653228759766e-05,block-mmd,17028.238474000318,10000.0,2.511320692483914e-05,,,,
129548.86168499979,-3.266334533691406e-05,block-mmd,27024.66594500038,15000.0,1.7529003502302135e-05,,,,
129548.86168499979,-3.0074119567871094e-05,block-mmd,39002.72919700001,20000.0,1.1558803194802995e-05,,,,
129548.86168499979,-2.679731760763193e-05,rf,5676.199444000304,,3.900174927495629e-05,64.0,0.0,0.0,countsketch_scatter
129548.86168499979,-3.3065885682370674e-05,rf,5864.093120999314,,2.648022301972095e-05,128.0,0.0,0.0,countsketch_scatter
129548.86168499979,-3.1637161942592585e-05,rf,6394.682436999574,,2.196937694164826e-05,256.0,0.0,0.0,countsketch_scatter
129548.86168499979,-3.198075633701336e-05,rf,7252.511467000659,,1.3826427231800728e-05,512.0,0.0,0.0,countsketch_scatter
129548.86168499979,-3.081199738016238e-05,rf,9195.828794998306,,9.048096131716013e-06,1024.0,0.0,0.0,countsketch_scatter
129548.86168499979,-3.135124807936318e-05,rf,13177.480079999441,,6.357150196975958e-06,2048.0,0.0,0.0,countsketch_scatter
129548.86168499979,-3.054179486845498e-05,rf,22171.869622001395,,4.431889605934281e-06,4096.0,0.0,0.0,countsketch_scatter
129548.86168499979,-3.0247032422665576e-05,rf,37184.65637199915,,4.026927454033108e-06,6144.0,0.0,0.0,countsketch_scatter
129548.86168499979,-3.019479808204828e-05,rf,40393.72480299971,,3.675440660283414e-06,8192.0,0.0,0.0,countsketch_scatter
129548.86168499979,-2.738092914434942e-05,rf,5722.912462999375,,6.189284297545918e-05,64.0,0.0,1.0,srht
129548.86168499979,-3.071024751418516e-05,rf,5976.153077001072,,3.23030933863819e-05,128.0,0.0,1.0,srht
129548.86168499979,-3.368244678603638e-05,rf,6537.964887998896,,2.603617691666909e-05,256.0,0.0,1.0,srht
129548.86168499979,-2.9519430550819514e-05,rf,7404.835217001164,,1.818587555724978e-05,512.0,0.0,1.0,srht
129548.86168499979,-3.0396658247773266e-05,rf,8535.582324999268,,1.115339102577526e-05,1024.0,0.0,1.0,srht
129548.86168499979,-2.9672736323171912e-05,rf,11058.746074000737,,1.0134524273750828e-05,2048.0,0.0,1.0,srht
129548.86168499979,-2.9895571722255988e-05,rf,15781.99858699918,,6.39161555291558e-06,4096.0,0.0,1.0,srht
129548.86168499979,-3.0625052971888776e-05,rf,20216.089976998774,,4.475975056755436e-06,6144.0,0.0,1.0,srht
129548.86168499979,-2.9978538318586877e-05,rf,24614.220728000873,,5.067524640421435e-06,8192.0,0.0,1.0,srht
129548.86168499979,-3.0494156836908813e-05,rf,29061.35422100124,,4.551872479047853e-06,10240.0,0.0,1.0,srht
129548.86168499979,-2.866281513895341e-05,rf,16240.666608000538,,3.30977901506676e-05,64.0,1.0,1.0,srht
129548.86168499979,-2.929175375830262e-05,rf,16541.480881000098,,2.3096606226795157e-05,128.0,1.0,1.0,srht
129548.86168499979,-3.084638090112613e-05,rf,17047.85857799834,,2.1194365771795943e-05,256.0,1.0,1.0,srht
129548.86168499979,-2.8446744035206528e-05,rf,18006.500110999696,,1.3543086370518563e-05,512.0,1.0,1.0,srht
129548.86168499979,-3.147993889671685e-05,rf,19685.112335000667,,9.552685060797343e-06,1024.0,1.0,1.0,srht
129548.86168499979,-3.0641412265106636e-05,rf,22683.356749999803,,6.5578572034864335e-06,2048.0,1.0,1.0,srht
129548.86168499979,-2.9293095011801993e-05,rf,27276.744191000034,,4.782675539219877e-06,4096.0,1.0,1.0,srht
129548.86168499979,-3.030937043163817e-05,rf,31451.889584001037,,3.837222089645295e-06,6144.0,1.0,1.0,srht
129548.86168499979,-2.9924436450379232e-05,rf,36164.991079000174,,3.4763603768758635e-06,8192.0,1.0,1.0,srht
129548.86168499979,-3.052750540964766e-05,rf,40800.302630999795,,2.5728974004781474e-06,10240.0,1.0,1.0,srht
