dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,ahle,tree,kernel_var,kernel_len,test_error,test_mnll,test_label_var,k_frob_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
FashionMNIST,srf,3,0.5,gaussian,False,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.14919999241828918,0.4304245114326477,0.09000000357627869,832.5381469726562,0.19458042085170746,1812.2235107421875,0.5183494091033936,0.19109328091144562,1024,10240,None,0.01,0.019020795822143555,0.5476334095001221,0
FashionMNIST,srf,3,0.5,srht,False,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.1428000032901764,0.4301392436027527,0.09000000357627869,865.6520385742188,0.20231977105140686,1768.6898193359375,0.5085873603820801,0.18751434981822968,1024,10240,None,0.01,0.026704072952270508,0.5483748912811279,0
FashionMNIST,srf,3,0.5,srht,True,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.13979999721050262,0.40633413195610046,0.09000000357627869,842.6585083007812,0.19694574177265167,1045.4493408203125,0.26531386375427246,0.18709318339824677,1024,10240,None,0.01,0.03331494331359863,0.5820176601409912,0
FashionMNIST,maclaurin,3,0.5,rademacher,False,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.14669999480247498,0.42469197511672974,0.09000000357627869,609.3935546875,0.14242716133594513,1824.47265625,0.3740101158618927,0.3137529194355011,1024,10240,"[476, 547]",0.01,0.03403067588806152,0.5512712001800537,0
FashionMNIST,maclaurin,3,0.5,rademacher,True,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.14229999482631683,0.41134223341941833,0.09000000357627869,548.708740234375,0.12824393808841705,1419.10205078125,0.23122984170913696,0.3154311776161194,1024,10240,"[490, 533]",0.01,0.09720611572265625,0.5797300338745117,0
FashionMNIST,maclaurin,3,0.5,srht,False,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.1468999981880188,0.4281267523765564,0.09000000357627869,475.62176513671875,0.11116208881139755,1744.3804931640625,0.36229822039604187,0.29900428652763367,1024,10240,"[477, 546]",0.01,0.029613971710205078,0.5480632781982422,0
FashionMNIST,maclaurin,3,0.5,srht,True,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.1419999897480011,0.4122021496295929,0.09000000357627869,458.92779541015625,0.10726038366556168,1342.636474609375,0.22263994812965393,0.2990318238735199,1024,10240,"[490, 533]",0.01,0.062094688415527344,0.5821976661682129,0
FashionMNIST,poly_sketch,3,0.5,gaussian,False,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.14630000293254852,0.4288586676120758,0.09000000357627869,1787.1265869140625,0.4176863729953766,1885.2222900390625,0.45333123207092285,0.28548663854599,1024,10240,None,0.01,0.04761958122253418,0.5501818656921387,0
FashionMNIST,poly_sketch,3,0.5,gaussian,True,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.1388999968767166,0.403445303440094,0.09000000357627869,802.0399169921875,0.18745237588882446,1169.5662841796875,0.23960939049720764,0.24827902019023895,1024,10240,None,0.01,0.16469955444335938,0.5820260047912598,0
FashionMNIST,poly_sketch,3,0.5,rademacher,False,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.14810000360012054,0.42958930134773254,0.09000000357627869,683.7765502929688,0.15981192886829376,1639.3895263671875,0.41775670647621155,0.227829247713089,1024,10240,None,0.01,0.04687952995300293,0.5506267547607422,0
FashionMNIST,poly_sketch,3,0.5,rademacher,True,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.1412999927997589,0.4068801701068878,0.09000000357627869,660.6102294921875,0.15439750254154205,1059.3125,0.22465334832668304,0.2230185866355896,1024,10240,None,0.01,0.15800929069519043,0.5862841606140137,0
FashionMNIST,poly_sketch,3,0.5,rademacher,False,False,False,False,True,True,3.895010232925415,1.4142135381698608,0.14589999616146088,0.42888733744621277,0.09000000357627869,1462.1676025390625,0.34173712134361267,2410.572998046875,0.5328380465507507,0.3736988306045532,1024,10240,None,0.01,0.09248852729797363,0.5500929355621338,0
FashionMNIST,poly_sketch,3,0.5,rademacher,True,False,False,False,True,True,3.895010232925415,1.4142135381698608,0.14329999685287476,0.41427546739578247,0.09000000357627869,1071.55322265625,0.25044289231300354,1686.378173828125,0.2960999608039856,0.36508381366729736,1024,10240,None,0.01,0.3140435218811035,0.5805318355560303,0
FashionMNIST,poly_sketch,3,0.5,srht,False,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.15079998970031738,0.4326127767562866,0.09000000357627869,726.6521606445312,0.16983279585838318,1618.8677978515625,0.41329771280288696,0.2226225733757019,1024,10240,None,0.01,0.026720285415649414,0.5495479106903076,0
FashionMNIST,poly_sketch,3,0.5,srht,True,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.13930000364780426,0.40247485041618347,0.09000000357627869,556.5907592773438,0.13008612394332886,1042.8133544921875,0.22131557762622833,0.21790537238121033,1024,10240,None,0.01,0.057938575744628906,0.5844931602478027,0
FashionMNIST,poly_sketch,3,0.5,srht,False,False,False,False,True,True,3.895010232925415,1.4142135381698608,0.14739999175071716,0.4297386705875397,0.09000000357627869,697.86083984375,0.16310369968414307,1654.6995849609375,0.41864222288131714,0.2360021471977234,1024,10240,None,0.01,0.0486600399017334,0.5500638484954834,0
FashionMNIST,poly_sketch,3,0.5,srht,True,False,False,False,True,True,3.895010232925415,1.4142135381698608,0.13779999315738678,0.4058130979537964,0.09000000357627869,645.7353515625,0.15092095732688904,1081.6053466796875,0.2304084300994873,0.22668322920799255,1024,10240,None,0.01,0.10927462577819824,0.5844790935516357,0
FashionMNIST,poly_sketch,3,0.5,countsketch_scatter,False,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.142099991440773,0.4192943871021271,0.09000000357627869,649.513427734375,0.15180397033691406,1595.6978759765625,0.415375292301178,0.21598799526691437,1024,10240,None,0.01,0.03440690040588379,0.5505130290985107,0
FashionMNIST,srf,3,0.5,gaussian,False,False,False,False,False,False,3.895010232925415,1.4142135381698608,0.1256999969482422,0.3698379099369049,0.09000000357627869,857.1806640625,0.20033985376358032,652.9620971679688,0.22064299881458282,0.013830526731908321,3072,10240,None,0.01,0.046272993087768555,4.551917314529419,0
