D,complex_real,d,error_prob,hierarchical,proj
64.0,0.0,2.0,1.8925923109054565,0.0,countsketch_scatter
64.0,0.0,4.0,2.2028794288635254,0.0,countsketch_scatter
64.0,0.0,8.0,2.7257752418518066,0.0,countsketch_scatter
64.0,0.0,16.0,2.9728360176086426,0.0,countsketch_scatter
64.0,0.0,32.0,2.719696283340454,0.0,countsketch_scatter
64.0,0.0,64.0,0.3292037844657898,0.0,countsketch_scatter
64.0,0.0,2.0,1.9332404136657715,0.0,rademacher
64.0,0.0,4.0,3.0445895195007324,0.0,rademacher
64.0,0.0,8.0,4.439572334289551,0.0,rademacher
64.0,0.0,16.0,4.916501998901367,0.0,rademacher
64.0,0.0,32.0,4.851635456085205,0.0,rademacher
64.0,0.0,64.0,0.5135304927825928,0.0,rademacher
64.0,1.0,2.0,1.455324649810791,0.0,rademacher
64.0,1.0,4.0,2.031440019607544,0.0,rademacher
64.0,1.0,8.0,2.566694974899292,0.0,rademacher
64.0,1.0,16.0,2.9007325172424316,0.0,rademacher
64.0,1.0,32.0,2.64263916015625,0.0,rademacher
64.0,1.0,64.0,0.3903966248035431,0.0,rademacher
64.0,0.0,2.0,1.4499306678771973,0.0,srht
64.0,0.0,4.0,2.5206539630889893,0.0,srht
64.0,0.0,8.0,3.899371862411499,0.0,srht
64.0,0.0,16.0,4.604335308074951,0.0,srht
64.0,0.0,32.0,4.588901519775391,0.0,srht
64.0,0.0,64.0,0.37685975432395935,0.0,srht
64.0,1.0,2.0,1.4824546575546265,0.0,srht
64.0,1.0,4.0,1.8377598524093628,0.0,srht
64.0,1.0,8.0,2.3342723846435547,0.0,srht
64.0,1.0,16.0,2.6509127616882324,0.0,srht
64.0,1.0,32.0,2.5942437648773193,0.0,srht
64.0,1.0,64.0,0.29356154799461365,0.0,srht
