proj,complex_real,hierarchical,D,error_prob
countsketch_scatter,0.0,0.0,64.0,0.5616000294685364
countsketch_scatter,0.0,0.0,128.0,0.41903331875801086
countsketch_scatter,0.0,0.0,192.0,0.3188333213329315
countsketch_scatter,0.0,0.0,256.0,0.2566666603088379
countsketch_scatter,0.0,0.0,320.0,0.20073333382606506
countsketch_scatter,0.0,0.0,384.0,0.1653333306312561
countsketch_scatter,0.0,0.0,448.0,0.13740000128746033
countsketch_scatter,0.0,0.0,512.0,0.11373333632946014
countsketch_scatter,0.0,0.0,576.0,0.0944666638970375
countsketch_scatter,0.0,0.0,640.0,0.07913333177566528
countsketch_scatter,0.0,0.0,704.0,0.0684666633605957
countsketch_scatter,0.0,0.0,768.0,0.056566666811704636
countsketch_scatter,0.0,0.0,832.0,0.050066664814949036
countsketch_scatter,0.0,0.0,896.0,0.04149999842047691
countsketch_scatter,0.0,0.0,960.0,0.03686666488647461
countsketch_scatter,0.0,0.0,1024.0,0.03189999982714653
countsketch_scatter,0.0,0.0,1088.0,0.026333333924412727
countsketch_scatter,0.0,0.0,1152.0,0.023800000548362732
countsketch_scatter,0.0,0.0,1216.0,0.0200333334505558
countsketch_scatter,0.0,0.0,1280.0,0.01860000006854534
countsketch_scatter,0.0,0.0,1344.0,0.01503333356231451
countsketch_scatter,0.0,0.0,1408.0,0.0141333332285285
countsketch_scatter,0.0,0.0,1472.0,0.011633333750069141
countsketch_scatter,0.0,0.0,1536.0,0.010433332994580269
countsketch_scatter,0.0,0.0,1600.0,0.010133333504199982
countsketch_scatter,0.0,0.0,1664.0,0.00846666656434536
countsketch_scatter,0.0,0.0,1728.0,0.007300000172108412
countsketch_scatter,0.0,0.0,1792.0,0.006099999882280827
countsketch_scatter,0.0,0.0,1856.0,0.006099999882280827
rademacher,0.0,0.0,64.0,0.6431000232696533
rademacher,0.0,0.0,128.0,0.5233666896820068
rademacher,0.0,0.0,192.0,0.4392000138759613
rademacher,0.0,0.0,256.0,0.3851333260536194
rademacher,0.0,0.0,320.0,0.3257000148296356
rademacher,0.0,0.0,384.0,0.28896665573120117
rademacher,0.0,0.0,448.0,0.25723332166671753
rademacher,0.0,0.0,512.0,0.22153332829475403
rademacher,0.0,0.0,576.0,0.19496667385101318
rademacher,0.0,0.0,640.0,0.17986667156219482
rademacher,0.0,0.0,704.0,0.15639999508857727
rademacher,0.0,0.0,768.0,0.14536666870117188
rademacher,0.0,0.0,832.0,0.13169999420642853
rademacher,0.0,0.0,896.0,0.1166333332657814
rademacher,0.0,0.0,960.0,0.10696666687726974
rademacher,0.0,0.0,1024.0,0.09613333642482758
rademacher,0.0,0.0,1088.0,0.08576666563749313
rademacher,0.0,0.0,1152.0,0.07853333652019501
rademacher,0.0,0.0,1216.0,0.07329999655485153
rademacher,0.0,0.0,1280.0,0.06830000132322311
rademacher,0.0,0.0,1344.0,0.05990000069141388
rademacher,0.0,0.0,1408.0,0.053466666489839554
rademacher,0.0,0.0,1472.0,0.050333332270383835
rademacher,0.0,0.0,1536.0,0.048133332282304764
rademacher,0.0,0.0,1600.0,0.04390000179409981
rademacher,0.0,0.0,1664.0,0.04076666757464409
rademacher,0.0,0.0,1728.0,0.03893333300948143
rademacher,0.0,0.0,1792.0,0.033933334052562714
rademacher,0.0,0.0,1856.0,0.035599999129772186
rademacher,1.0,0.0,64.0,0.553433358669281
rademacher,1.0,0.0,128.0,0.4082333445549011
rademacher,1.0,0.0,192.0,0.31843334436416626
rademacher,1.0,0.0,256.0,0.2530333399772644
rademacher,1.0,0.0,320.0,0.20233333110809326
rademacher,1.0,0.0,384.0,0.16536666452884674
rademacher,1.0,0.0,448.0,0.13500000536441803
rademacher,1.0,0.0,512.0,0.11356666684150696
rademacher,1.0,0.0,576.0,0.09200000017881393
rademacher,1.0,0.0,640.0,0.0801333338022232
rademacher,1.0,0.0,704.0,0.06756666302680969
rademacher,1.0,0.0,768.0,0.05693333223462105
rademacher,1.0,0.0,832.0,0.04753333330154419
rademacher,1.0,0.0,896.0,0.04050000011920929
rademacher,1.0,0.0,960.0,0.03556666523218155
rademacher,1.0,0.0,1024.0,0.03173333406448364
rademacher,1.0,0.0,1088.0,0.025866666808724403
rademacher,1.0,0.0,1152.0,0.023233333602547646
rademacher,1.0,0.0,1216.0,0.0200333334505558
rademacher,1.0,0.0,1280.0,0.01626666635274887
rademacher,1.0,0.0,1344.0,0.016300000250339508
rademacher,1.0,0.0,1408.0,0.012566667050123215
rademacher,1.0,0.0,1472.0,0.010566666722297668
rademacher,1.0,0.0,1536.0,0.010133333504199982
rademacher,1.0,0.0,1600.0,0.009266667068004608
rademacher,1.0,0.0,1664.0,0.006866666488349438
rademacher,1.0,0.0,1728.0,0.007166666444391012
rademacher,1.0,0.0,1792.0,0.006599999964237213
rademacher,1.0,0.0,1856.0,0.0055333334021270275
srht,0.0,0.0,64.0,0.5841000080108643
srht,0.0,0.0,128.0,0.45089998841285706
srht,0.0,0.0,192.0,0.36116665601730347
srht,0.0,0.0,256.0,0.30329999327659607
srht,0.0,0.0,320.0,0.25333333015441895
srht,0.0,0.0,384.0,0.2161666601896286
srht,0.0,0.0,448.0,0.1821666657924652
srht,0.0,0.0,512.0,0.16300000250339508
srht,0.0,0.0,576.0,0.14346666634082794
srht,0.0,0.0,640.0,0.12373333424329758
srht,0.0,0.0,704.0,0.10526666790246964
srht,0.0,0.0,768.0,0.09736666828393936
srht,0.0,0.0,832.0,0.08676666766405106
srht,0.0,0.0,896.0,0.07890000194311142
srht,0.0,0.0,960.0,0.06756666302680969
srht,0.0,0.0,1024.0,0.06300000101327896
srht,0.0,0.0,1088.0,0.05326666682958603
srht,0.0,0.0,1152.0,0.05026666820049286
srht,0.0,0.0,1216.0,0.04390000179409981
srht,0.0,0.0,1280.0,0.04123333469033241
srht,0.0,0.0,1344.0,0.03656666725873947
srht,0.0,0.0,1408.0,0.03553333505988121
srht,0.0,0.0,1472.0,0.032733332365751266
srht,0.0,0.0,1536.0,0.0273333340883255
srht,0.0,0.0,1600.0,0.0273333340883255
srht,0.0,0.0,1664.0,0.02383333258330822
srht,0.0,0.0,1728.0,0.02213333360850811
srht,0.0,0.0,1792.0,0.01889999955892563
srht,0.0,0.0,1856.0,0.01860000006854534
srht,1.0,0.0,64.0,0.5008999705314636
srht,1.0,0.0,128.0,0.2619999945163727
srht,1.0,0.0,192.0,0.21593333780765533
srht,1.0,0.0,256.0,0.12113333493471146
srht,1.0,0.0,320.0,0.11106666922569275
srht,1.0,0.0,384.0,0.06756666302680969
srht,1.0,0.0,448.0,0.06239999830722809
srht,1.0,0.0,512.0,0.04236666485667229
srht,1.0,0.0,576.0,0.03759999945759773
srht,1.0,0.0,640.0,0.025333333760499954
