proj,complex_real,hierarchical,D,error_prob
countsketch_scatter,0.0,0.0,64.0,0.4471000134944916
countsketch_scatter,0.0,0.0,128.0,0.258733332157135
countsketch_scatter,0.0,0.0,192.0,0.16306667029857635
countsketch_scatter,0.0,0.0,256.0,0.11630000174045563
countsketch_scatter,0.0,0.0,320.0,0.08913332968950272
countsketch_scatter,0.0,0.0,384.0,0.06826666742563248
countsketch_scatter,0.0,0.0,448.0,0.056433334946632385
countsketch_scatter,0.0,0.0,512.0,0.049533333629369736
countsketch_scatter,0.0,0.0,576.0,0.040300000458955765
countsketch_scatter,0.0,0.0,640.0,0.03799999877810478
countsketch_scatter,0.0,0.0,704.0,0.032733332365751266
countsketch_scatter,0.0,0.0,768.0,0.030366666615009308
countsketch_scatter,0.0,0.0,832.0,0.026200000196695328
countsketch_scatter,0.0,0.0,896.0,0.024033334106206894
countsketch_scatter,0.0,0.0,960.0,0.022866666316986084
countsketch_scatter,0.0,0.0,1024.0,0.02266666665673256
countsketch_scatter,0.0,0.0,1088.0,0.019966667518019676
countsketch_scatter,0.0,0.0,1152.0,0.018666666001081467
countsketch_scatter,0.0,0.0,1216.0,0.017400000244379044
countsketch_scatter,0.0,0.0,1280.0,0.016333334147930145
countsketch_scatter,0.0,0.0,1344.0,0.014700000174343586
countsketch_scatter,0.0,0.0,1408.0,0.013566666282713413
countsketch_scatter,0.0,0.0,1472.0,0.015833333134651184
countsketch_scatter,0.0,0.0,1536.0,0.013633333146572113
countsketch_scatter,0.0,0.0,1600.0,0.013199999928474426
countsketch_scatter,0.0,0.0,1664.0,0.012033333070576191
countsketch_scatter,0.0,0.0,1728.0,0.011866666376590729
countsketch_scatter,0.0,0.0,1792.0,0.01126666646450758
countsketch_scatter,0.0,0.0,1856.0,0.010766666382551193
rademacher,0.0,0.0,64.0,0.5598999857902527
rademacher,0.0,0.0,128.0,0.444433331489563
rademacher,0.0,0.0,192.0,0.35190001130104065
rademacher,0.0,0.0,256.0,0.28013333678245544
rademacher,0.0,0.0,320.0,0.2283666729927063
rademacher,0.0,0.0,384.0,0.1910666674375534
rademacher,0.0,0.0,448.0,0.15613333880901337
rademacher,0.0,0.0,512.0,0.13246667385101318
rademacher,0.0,0.0,576.0,0.10719999670982361
rademacher,0.0,0.0,640.0,0.09233333170413971
rademacher,0.0,0.0,704.0,0.078166663646698
rademacher,0.0,0.0,768.0,0.06716666370630264
rademacher,0.0,0.0,832.0,0.0554666668176651
rademacher,0.0,0.0,896.0,0.04916666820645332
rademacher,0.0,0.0,960.0,0.039633333683013916
rademacher,0.0,0.0,1024.0,0.033666666597127914
rademacher,0.0,0.0,1088.0,0.029466666281223297
rademacher,0.0,0.0,1152.0,0.025966666638851166
rademacher,0.0,0.0,1216.0,0.02239999920129776
rademacher,0.0,0.0,1280.0,0.019033333286643028
rademacher,0.0,0.0,1344.0,0.01693333312869072
rademacher,0.0,0.0,1408.0,0.014233333058655262
rademacher,0.0,0.0,1472.0,0.013399999588727951
rademacher,0.0,0.0,1536.0,0.010433332994580269
rademacher,0.0,0.0,1600.0,0.009733333252370358
rademacher,0.0,0.0,1664.0,0.007833333685994148
rademacher,0.0,0.0,1728.0,0.007699999958276749
rademacher,0.0,0.0,1792.0,0.006300000008195639
rademacher,0.0,0.0,1856.0,0.005799999926239252
rademacher,1.0,0.0,64.0,0.4903999865055084
rademacher,1.0,0.0,128.0,0.3264666795730591
rademacher,1.0,0.0,192.0,0.2321999967098236
rademacher,1.0,0.0,256.0,0.16850000619888306
rademacher,1.0,0.0,320.0,0.12099999934434891
rademacher,1.0,0.0,384.0,0.09149999916553497
rademacher,1.0,0.0,448.0,0.07066666334867477
rademacher,1.0,0.0,512.0,0.0554666668176651
rademacher,1.0,0.0,576.0,0.04286666586995125
rademacher,1.0,0.0,640.0,0.031033333390951157
rademacher,1.0,0.0,704.0,0.024533333256840706
rademacher,1.0,0.0,768.0,0.020666666328907013
rademacher,1.0,0.0,832.0,0.015599999576807022
rademacher,1.0,0.0,896.0,0.012299999594688416
rademacher,1.0,0.0,960.0,0.009100000374019146
rademacher,1.0,0.0,1024.0,0.007833333685994148
rademacher,1.0,0.0,1088.0,0.005966666620224714
rademacher,1.0,0.0,1152.0,0.004833333194255829
rademacher,1.0,0.0,1216.0,0.0041333334520459175
rademacher,1.0,0.0,1280.0,0.0034666666761040688
rademacher,1.0,0.0,1344.0,0.0026333334390074015
rademacher,1.0,0.0,1408.0,0.002733333269134164
rademacher,1.0,0.0,1472.0,0.0018333332845941186
rademacher,1.0,0.0,1536.0,0.00139999995008111
rademacher,1.0,0.0,1600.0,0.0006666666595265269
rademacher,1.0,0.0,1664.0,0.0006333333440124989
rademacher,1.0,0.0,1728.0,0.0004666666791308671
rademacher,1.0,0.0,1792.0,0.00033333332976326346
rademacher,1.0,0.0,1856.0,0.0005333333392627537
srht,0.0,0.0,64.0,0.1923000067472458
srht,0.0,0.0,128.0,0.22066666185855865
srht,0.0,0.0,192.0,0.1842000037431717
srht,0.0,0.0,256.0,0.09610000252723694
srht,0.0,0.0,320.0,0.10196666419506073
srht,0.0,0.0,384.0,0.09943333268165588
srht,0.0,0.0,448.0,0.09186666458845139
srht,0.0,0.0,512.0,0.07779999822378159
srht,0.0,0.0,576.0,0.057866666465997696
srht,0.0,0.0,640.0,0.058800000697374344
srht,0.0,0.0,704.0,0.059166666120290756
srht,0.0,0.0,768.0,0.048500001430511475
srht,0.0,0.0,832.0,0.04063333198428154
srht,0.0,0.0,896.0,0.04280000180006027
srht,0.0,0.0,960.0,0.04216666519641876
srht,0.0,0.0,1024.0,0.029600000008940697
srht,0.0,0.0,1088.0,0.030766665935516357
srht,0.0,0.0,1152.0,0.032733332365751266
srht,0.0,0.0,1216.0,0.03150000050663948
srht,0.0,0.0,1280.0,0.027499999850988388
srht,0.0,0.0,1344.0,0.023933332413434982
srht,0.0,0.0,1408.0,0.02500000037252903
srht,0.0,0.0,1472.0,0.025566667318344116
srht,0.0,0.0,1536.0,0.021666666492819786
srht,0.0,0.0,1600.0,0.019866665825247765
srht,0.0,0.0,1664.0,0.019099999219179153
srht,0.0,0.0,1728.0,0.0203000009059906
srht,0.0,0.0,1792.0,0.017933333292603493
srht,0.0,0.0,1856.0,0.01586666703224182
srht,1.0,0.0,64.0,0.3494333326816559
srht,1.0,0.0,128.0,0.10899999737739563
srht,1.0,0.0,192.0,0.11513333022594452
srht,1.0,0.0,256.0,0.06076666712760925
srht,1.0,0.0,320.0,0.051766667515039444
srht,1.0,0.0,384.0,0.03333333507180214
srht,1.0,0.0,448.0,0.03096666745841503
srht,1.0,0.0,512.0,0.01886666752398014
srht,1.0,0.0,576.0,0.01926666684448719
srht,1.0,0.0,640.0,0.014100000262260437
srht,1.0,0.0,704.0,0.013199999928474426
srht,1.0,0.0,768.0,0.009866666980087757
srht,1.0,0.0,832.0,0.008100000210106373
srht,1.0,0.0,896.0,0.0066999997943639755
srht,1.0,0.0,960.0,0.0066999997943639755
srht,1.0,0.0,1024.0,0.005866666790097952
