dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,hier,kernel_var,kernel_len,test_error,test_mnll,test_label_var,k_frob_error,k_rel_frob_error,k_spec_error,k_rel_spec_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
Mocap,srf,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,0.0,16.048511505126953,1.4142135381698608,0.11907810717821121,0.35635578632354736,0.15999998152256012,6065.94287109375,0.36777716875076294,3710.09033203125,0.2779945433139801,17534.740234375,5.457444667816162,1.3636987209320068,256.0,32768.0,None,0.001,0.0070781707763671875,0.029983997344970703,0.0
Mocap,poly_sketch,3.0,0.5,gaussian,0.0,0.0,0.0,0.0,0.0,16.048511505126953,1.4142135381698608,0.12355954200029373,0.3850691616535187,0.15999998152256012,15374.244140625,0.9321380257606506,12540.541015625,0.9396542310714722,16924.685546875,5.383037567138672,1.3487039804458618,256.0,32768.0,None,0.001,0.008075714111328125,0.030768871307373047,0.0
Mocap,poly_sketch,3.0,0.5,gaussian,0.0,1.0,0.0,0.0,0.0,16.048511505126953,1.4142135381698608,0.11139564961194992,0.34284496307373047,0.15999998152256012,9475.4609375,0.5744957327842712,7425.1259765625,0.5563596487045288,15587.765625,4.916123390197754,1.3487979173660278,256.0,32768.0,None,0.001,0.03023242950439453,0.02939462661743164,0.0
Mocap,poly_sketch,3.0,0.5,rademacher,0.0,0.0,0.0,0.0,0.0,16.048511505126953,1.4142135381698608,0.1039692759513855,0.3242509663105011,0.15999998152256012,5768.693359375,0.3497549891471863,3142.798095703125,0.23548772931098938,15779.759765625,4.862419128417969,1.3315492868423462,256.0,32768.0,None,0.001,0.007799625396728516,0.029892683029174805,0.0
Mocap,poly_sketch,3.0,0.5,rademacher,0.0,1.0,0.0,0.0,0.0,16.048511505126953,1.4142135381698608,0.10537772625684738,0.34126585721969604,0.15999998152256012,5028.69189453125,0.3048888146877289,2215.18017578125,0.1659819483757019,15002.5498046875,4.874039173126221,1.3354979753494263,256.0,32768.0,None,0.001,0.01168680191040039,0.02903008460998535,0.0
Mocap,poly_sketch,3.0,0.5,srht,0.0,0.0,0.0,1.0,0.0,16.048511505126953,1.4142135381698608,0.100640207529068,0.3145010769367218,0.15999998152256012,5321.400390625,0.322635680437088,2739.562744140625,0.2052735835313797,15056.921875,4.710989952087402,1.3320192098617554,256.0,32768.0,None,0.001,0.009125709533691406,0.029596328735351562,0.0
Mocap,poly_sketch,3.0,0.5,srht,0.0,1.0,0.0,1.0,0.0,16.048511505126953,1.4142135381698608,0.11088348925113678,0.33655640482902527,0.15999998152256012,4749.16650390625,0.28794121742248535,2262.47412109375,0.1695256531238556,15150.837890625,4.6799750328063965,1.333856225013733,256.0,32768.0,None,0.001,0.015333890914916992,0.02952861785888672,0.0
Mocap,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,0.0,16.048511505126953,1.4142135381698608,0.0951344445347786,0.30359241366386414,0.15999998152256012,5693.82666015625,0.3452158272266388,3064.89013671875,0.22965013980865479,14828.9287109375,4.62706184387207,1.348779320716858,256.0,32768.0,None,0.001,0.01581597328186035,0.029886960983276367,0.0
Mocap,poly_sketch,3.0,0.5,srht,0.0,0.0,1.0,1.0,0.0,16.048511505126953,1.4142135381698608,0.10460948199033737,0.3336445987224579,0.15999998152256012,4970.6845703125,0.30137184262275696,2478.10302734375,0.18568257987499237,14864.8154296875,4.6406965255737305,1.3392077684402466,256.0,32768.0,None,0.001,1.0974154472351074,0.030889511108398438,0.0
Mocap,poly_sketch,3.0,0.5,srht,0.0,1.0,1.0,1.0,0.0,16.048511505126953,1.4142135381698608,0.11062740534543991,0.34007319808006287,0.15999998152256012,5628.9140625,0.3412801921367645,3559.840576171875,0.2667364478111267,14111.673828125,4.508166790008545,1.3387620449066162,256.0,32768.0,None,0.001,1.3376755714416504,0.02891707420349121,0.0
Mocap,poly_sketch,3.0,0.5,countsketch_scatter,0.0,0.0,1.0,0.0,0.0,16.048511505126953,1.4142135381698608,0.10320103168487549,0.3251863718032837,0.15999998152256012,4881.6787109375,0.2959754168987274,2217.191162109375,0.1661326289176941,15087.580078125,4.722128868103027,1.3402934074401855,256.0,32768.0,None,0.001,2.364128828048706,0.029160737991333008,0.0
