D,bias,comp,comp_real,dataset,degree,feature_dist,feature_time,full_cov,hier,k_mean_error,k_mse,k_rel_frob_error,kernel_len,kernel_var,method,noise_var,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
1024.0,0.5,0.0,0.0,FashionMNIST,6.0,None,0.12572598457336426,0.0,0.0,0.854223370552063,1.6631630659103394,0.3961741030216217,1.4142135381698608,9.030295372009277,poly_sketch,0.001,0.265988826751709,rademacher,0.0,0.15940000116825104,4962.62890625,0.09000000357627869,1.7320002317428589,0.49724164605140686,2.2445478439331055
1024.0,0.5,1.0,0.0,FashionMNIST,6.0,None,0.43624377250671387,0.0,0.0,0.35673919320106506,0.21146616339683533,0.14126646518707275,1.4142135381698608,9.030295372009277,poly_sketch,0.001,0.7703738212585449,rademacher,0.0,0.13930000364780426,2764.70361328125,0.09000000357627869,0.8700465559959412,0.43942031264305115,1.8972917795181274
1024.0,0.5,0.0,1.0,FashionMNIST,6.0,None,0.23090267181396484,0.0,0.0,0.4609493613243103,0.3541511297225952,0.18281547725200653,1.4142135381698608,9.030295372009277,poly_sketch,0.001,0.2622976303100586,rademacher,0.0,0.14909999072551727,3608.005615234375,0.09000000357627869,1.4149330854415894,0.47128114104270935,1.87240469455719
1024.0,0.5,0.0,0.0,FashionMNIST,6.0,None,0.0625770092010498,0.0,0.0,0.8766162991523743,1.389129877090454,0.36206796765327454,1.4142135381698608,9.030295372009277,poly_sketch,0.001,0.25904226303100586,srht,0.0,0.1599999964237213,5077.2001953125,0.09000000357627869,1.8116518259048462,0.4987497329711914,2.2612929344177246
1024.0,0.5,0.0,0.0,FashionMNIST,6.0,None,0.062120914459228516,1.0,0.0,1.5600656270980835,6.158940315246582,0.7623803019523621,1.4142135381698608,9.030295372009277,poly_sketch,0.001,0.25931620597839355,srht,0.0,0.15969999134540558,5137.82177734375,0.09000000357627869,1.8199515342712402,0.4993584454059601,2.2486472129821777
1024.0,0.5,1.0,0.0,FashionMNIST,6.0,None,0.15270256996154785,0.0,0.0,0.5098440647125244,0.4166943430900574,0.19830216467380524,1.4142135381698608,9.030295372009277,poly_sketch,0.001,0.78037428855896,srht,0.0,0.14429999887943268,2743.863037109375,0.09000000357627869,0.8598505854606628,0.44346463680267334,1.8640621900558472
1024.0,0.5,1.0,0.0,FashionMNIST,6.0,None,0.15330839157104492,1.0,0.0,0.5935224294662476,0.932437539100647,0.29663917422294617,1.4142135381698608,9.030295372009277,poly_sketch,0.001,0.7677698135375977,srht,0.0,0.14469999074935913,2735.314453125,0.09000000357627869,0.8618295788764954,0.44622713327407837,1.8842613697052002
1024.0,0.5,0.0,1.0,FashionMNIST,6.0,None,0.13469481468200684,1.0,0.0,0.40824639797210693,0.281669944524765,0.16303803026676178,1.4142135381698608,9.030295372009277,poly_sketch,0.001,0.2580244541168213,srht,0.0,0.14729999005794525,3644.827392578125,0.09000000357627869,1.4347020387649536,0.469575971364975,1.8547849655151367
1024.0,0.5,0.0,0.0,FashionMNIST,6.0,None,0.07134890556335449,0.0,0.0,2.7822070121765137,10.554986000061035,0.9980388879776001,1.4142135381698608,9.030295372009277,poly_sketch,0.001,0.29676318168640137,countsketch_scatter,0.0,0.7689999938011169,69256.8125,0.09000000357627869,9.009367942810059,2.0608346462249756,4.365748405456543
2048.0,0.5,0.0,0.0,FashionMNIST,6.0,None,0.24285221099853516,0.0,0.0,0.7053384184837341,0.7560357451438904,0.26710978150367737,1.4142135381698608,9.030295372009277,poly_sketch,0.001,0.9782342910766602,rademacher,0.0,0.14169999957084656,3120.888427734375,0.09000000357627869,1.2105247974395752,0.4504377841949463,1.4811879396438599
2048.0,0.5,1.0,0.0,FashionMNIST,6.0,None,0.8463401794433594,0.0,0.0,0.45614543557167053,0.3529745638370514,0.18251153826713562,1.4142135381698608,9.030295372009277,poly_sketch,0.001,2.7309377193450928,rademacher,0.0,0.12929999828338623,1430.51416015625,0.09000000357627869,0.5270330309867859,0.40286684036254883,1.0459028482437134
2048.0,0.5,0.0,1.0,FashionMNIST,6.0,None,0.43858909606933594,0.0,0.0,0.40730464458465576,0.2938027083873749,0.1665123850107193,1.4142135381698608,9.030295372009277,poly_sketch,0.001,0.988788366317749,rademacher,0.0,0.13349999487400055,2174.619873046875,0.09000000357627869,0.9650004506111145,0.4279605746269226,1.0955702066421509
2048.0,0.5,0.0,0.0,FashionMNIST,6.0,None,0.12119174003601074,0.0,0.0,0.9958035349845886,2.3378896713256836,0.46971091628074646,1.4142135381698608,9.030295372009277,poly_sketch,0.001,0.9870953559875488,srht,0.0,0.141199991106987,3104.031005859375,0.09000000357627869,1.1939783096313477,0.4495868980884552,1.525658130645752
2048.0,0.5,0.0,0.0,FashionMNIST,6.0,None,0.0868844985961914,1.0,0.0,0.646162211894989,0.8238521814346313,0.27883243560791016,1.4142135381698608,9.030295372009277,poly_sketch,0.001,0.9890720844268799,srht,0.0,0.14249999821186066,3060.186279296875,0.09000000357627869,1.1812958717346191,0.45601293444633484,1.4975236654281616
2048.0,0.5,1.0,0.0,FashionMNIST,6.0,None,0.29198718070983887,0.0,0.0,0.283727765083313,0.1354358047246933,0.11305385828018188,1.4142135381698608,9.030295372009277,poly_sketch,0.001,2.7430527210235596,srht,0.0,0.13089999556541443,1483.3240966796875,0.09000000357627869,0.5403528213500977,0.404594361782074,1.051628828048706
