D,bias,comp,comp_real,dataset,degree,feature_dist,feature_time,full_cov,hier,k_mean_error,k_mse,k_rel_frob_error,kernel_len,kernel_var,method,noise_var,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
1024.0,0.5,0.0,0.0,MNIST,6.0,None,0.12029123306274414,0.0,0.0,0.7790948748588562,1.9634426832199097,0.9478834271430969,1.4142135381698608,9.027409553527832,poly_sketch,0.001,0.25792694091796875,rademacher,0.0,0.05609999969601631,4310.5673828125,0.09000000357627869,2.641143798828125,0.18677474558353424,6.009054660797119
1024.0,0.5,1.0,0.0,MNIST,6.0,None,0.43300604820251465,0.0,0.0,0.3050290644168854,0.16374053061008453,0.27373096346855164,1.4142135381698608,9.027409553527832,poly_sketch,0.001,0.7737894058227539,rademacher,0.0,0.03869999945163727,2674.39453125,0.09000000357627869,1.255340576171875,0.1271340250968933,5.445624828338623
1024.0,0.5,0.0,1.0,MNIST,6.0,None,0.22724056243896484,0.0,0.0,0.3918999135494232,0.2869383990764618,0.3623599112033844,1.4142135381698608,9.027409553527832,poly_sketch,0.001,0.2579007148742676,rademacher,0.0,0.05089999735355377,3500.150146484375,0.09000000357627869,2.2093076705932617,0.16291533410549164,5.4660563468933105
1024.0,0.5,0.0,0.0,MNIST,6.0,None,0.06336474418640137,0.0,0.0,1.011993646621704,3.450554132461548,1.2565802335739136,1.4142135381698608,9.027409553527832,poly_sketch,0.001,0.2597832679748535,srht,0.0,0.05929999798536301,4233.490234375,0.09000000357627869,2.577518939971924,0.19227834045886993,6.028707504272461
1024.0,0.5,0.0,0.0,MNIST,6.0,None,0.06138324737548828,1.0,0.0,0.7029727697372437,1.3081684112548828,0.7737089395523071,1.4142135381698608,9.027409553527832,poly_sketch,0.001,0.25838160514831543,srht,0.0,0.05570000037550926,4228.72314453125,0.09000000357627869,2.567730665206909,0.18233415484428406,6.011634349822998
1024.0,0.5,1.0,0.0,MNIST,6.0,None,0.14974188804626465,0.0,0.0,0.2920757234096527,0.1388569325208664,0.2520748972892761,1.4142135381698608,9.027409553527832,poly_sketch,0.001,0.7794556617736816,srht,0.0,0.04010000079870224,2677.76953125,0.09000000357627869,1.277825951576233,0.12346093356609344,5.4243597984313965
1024.0,0.5,1.0,0.0,MNIST,6.0,None,0.15444278717041016,1.0,0.0,0.3262089490890503,0.20172859728336334,0.30382922291755676,1.4142135381698608,9.027409553527832,poly_sketch,0.001,0.7700595855712891,srht,0.0,0.04050000011920929,2653.041259765625,0.09000000357627869,1.244144082069397,0.13202303647994995,5.44179630279541
1024.0,0.5,0.0,1.0,MNIST,6.0,None,0.13117170333862305,1.0,0.0,0.3720433712005615,0.2405441254377365,0.33177462220191956,1.4142135381698608,9.027409553527832,poly_sketch,0.001,0.25722312927246094,srht,0.0,0.053599998354911804,3425.126953125,0.09000000357627869,2.132251501083374,0.16995568573474884,5.418216228485107
1024.0,0.5,0.0,0.0,MNIST,6.0,None,0.07172250747680664,0.0,0.0,1.2611991167068481,3.4079065322875977,1.2487906217575073,1.4142135381698608,9.027409553527832,poly_sketch,0.001,0.29575490951538086,countsketch_scatter,0.0,0.8689999580383301,77653.2265625,0.09000000357627869,8.073938369750977,2.2773051261901855,9.643104553222656
2048.0,0.5,0.0,0.0,MNIST,6.0,None,0.23952054977416992,0.0,0.0,0.4337778389453888,0.39458543062210083,0.4249289631843567,1.4142135381698608,9.027409553527832,poly_sketch,0.001,0.9886071681976318,rademacher,0.0,0.03999999910593033,2515.276123046875,0.09000000357627869,1.6268543004989624,0.13054288923740387,4.250895023345947
2048.0,0.5,1.0,0.0,MNIST,6.0,None,0.847987174987793,0.0,0.0,0.24416065216064453,0.11184661090373993,0.22623366117477417,1.4142135381698608,9.027409553527832,poly_sketch,0.001,2.7209784984588623,rademacher,0.0,0.030700000002980232,1374.0855712890625,0.09000000357627869,0.7190874814987183,0.0951729565858841,3.3798842430114746
2048.0,0.5,0.0,1.0,MNIST,6.0,None,0.4360175132751465,0.0,0.0,0.280832439661026,0.130631685256958,0.24449504911899567,1.4142135381698608,9.027409553527832,poly_sketch,0.001,0.9868543148040771,rademacher,0.0,0.03689999878406525,1944.4869384765625,0.09000000357627869,1.3360135555267334,0.1196405366063118,3.4940104484558105
2048.0,0.5,0.0,0.0,MNIST,6.0,None,0.12067079544067383,0.0,0.0,0.3967825472354889,0.3020328879356384,0.3717687726020813,1.4142135381698608,9.027409553527832,poly_sketch,0.001,0.9795782566070557,srht,0.0,0.041600000113248825,2494.73681640625,0.09000000357627869,1.6139613389968872,0.13286429643630981,4.225885391235352
2048.0,0.5,0.0,0.0,MNIST,6.0,None,0.08677959442138672,1.0,0.0,0.4131486713886261,0.3681124746799469,0.41042715311050415,1.4142135381698608,9.027409553527832,poly_sketch,0.001,0.9894425868988037,srht,0.0,0.04349999874830246,2548.375,0.09000000357627869,1.6793889999389648,0.13128440082073212,4.2160325050354
2048.0,0.5,1.0,0.0,MNIST,6.0,None,0.29235339164733887,0.0,0.0,0.1880352795124054,0.058934248983860016,0.1642213761806488,1.4142135381698608,9.027409553527832,poly_sketch,0.001,2.722656011581421,srht,0.0,0.029999999329447746,1362.5560302734375,0.09000000357627869,0.7295135855674744,0.0908876284956932,3.341369390487671
2048.0,0.5,1.0,0.0,MNIST,6.0,None,0.1856849193572998,1.0,0.0,0.24962963163852692,0.09991791844367981,0.2138294279575348,1.4142135381698608,9.027409553527832,poly_sketch,0.001,2.7328951358795166,srht,0.0,0.027400000020861626,1372.0220947265625,0.09000000357627869,0.7200185656547546,0.08945067226886749,3.3866305351257324
