D,bias,comp,dataset,degree,feature_dist,hier,k_mean_error,k_mse,k_rel_frob_error,kernel_len,kernel_var,method,noise_var,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
40.0,0.875,0.0,Energy,20.0,None,0.0,11.452436447143555,207.41094970703125,0.5022263526916504,2.8284270763397217,96.96780395507812,srf,0.000244140625,0.015227794647216797,gaussian,0.0,11.277252197265625,,88.34967803955078,16.544681549072266,42871.125,
40.0,0.875,0.0,Energy,20.0,None,0.0,12.403167724609375,280.3279724121094,0.5838709473609924,2.8284270763397217,96.96780395507812,srf,0.00048828125,0.01518702507019043,gaussian,0.0,11.082164764404297,122314.890625,88.34967803955078,15.18205738067627,21180.54296875,9.419387788511813e-05
40.0,0.875,0.0,Energy,20.0,None,0.0,8.8670072555542,122.80892944335938,0.3864547312259674,2.8284270763397217,96.96780395507812,srf,0.0009765625,0.019351720809936523,gaussian,0.0,11.949061393737793,74986.265625,88.34967803955078,14.638753890991211,11387.458984375,0.00014271948020905256
40.0,0.875,0.0,Energy,20.0,None,0.0,11.865509986877441,217.0413818359375,0.5137537121772766,2.8284270763397217,96.96780395507812,srf,0.001953125,0.019544124603271484,gaussian,0.0,10.066239356994629,43952.015625,88.34967803955078,12.14346694946289,4786.56982421875,0.00023213507665786892
40.0,0.875,0.0,Energy,20.0,None,0.0,11.639569282531738,208.89132690429688,0.5040154457092285,2.8284270763397217,96.96780395507812,srf,0.00390625,0.022975683212280273,gaussian,0.0,10.920536041259766,32957.0,88.34967803955078,11.72050952911377,2601.10986328125,0.0004074214957654476
40.0,0.875,0.0,Energy,20.0,None,0.0,11.970669746398926,230.15203857421875,0.5290431380271912,2.8284270763397217,96.96780395507812,srf,0.0078125,0.019651412963867188,gaussian,0.0,12.294034957885742,18895.677734375,88.34967803955078,13.501296997070312,1456.7845458984375,0.0007631476619280875
40.0,0.875,0.0,Energy,20.0,None,0.0,10.30665111541748,171.9990997314453,0.4573479890823364,2.8284270763397217,96.96780395507812,srf,0.015625,0.014270305633544922,gaussian,0.0,8.753759384155273,10090.5986328125,88.34967803955078,9.382043838500977,521.6160278320312,0.0015236650360748172
40.0,0.875,0.0,Energy,20.0,None,0.0,11.840532302856445,214.63912963867188,0.5109026432037354,2.8284270763397217,96.96780395507812,srf,0.03125,0.014094352722167969,gaussian,0.0,8.7289400100708,7205.232421875,88.34967803955078,9.818180084228516,258.9983825683594,0.003188434522598982
40.0,0.875,0.0,Energy,20.0,None,0.0,11.87109375,266.55511474609375,0.5693472027778625,2.8284270763397217,96.96780395507812,srf,0.0625,0.013869047164916992,gaussian,0.0,10.75279426574707,3852.65869140625,88.34967803955078,9.92704963684082,158.1074981689453,0.006975802592933178
40.0,0.875,0.0,Energy,20.0,None,0.0,12.846942901611328,262.0907287597656,0.5645591616630554,2.8284270763397217,96.96780395507812,srf,0.125,0.016585826873779297,gaussian,0.0,8.892515182495117,2254.635009765625,88.34967803955078,7.816855430603027,65.78679656982422,0.015908043831586838
40.0,0.875,0.0,Energy,20.0,None,0.0,9.15188980102539,136.393798828125,0.4072686433792114,2.8284270763397217,96.96780395507812,srf,0.25,0.016259431838989258,gaussian,0.0,8.489859580993652,1260.27587890625,88.34967803955078,6.949399471282959,32.16936492919922,0.03663786128163338
40.0,0.875,0.0,Energy,20.0,None,0.0,9.995055198669434,169.9521942138672,0.4546184241771698,2.8284270763397217,96.96780395507812,srf,0.5,0.017343997955322266,gaussian,0.0,12.250309944152832,930.1735229492188,88.34967803955078,9.577579498291016,23.989572525024414,0.08641959726810455
40.0,0.875,0.0,Energy,20.0,None,0.0,11.728970527648926,227.28143310546875,0.525733470916748,2.8284270763397217,96.96780395507812,srf,1.0,0.020277738571166992,gaussian,0.0,11.471364974975586,566.3316040039062,88.34967803955078,8.642325401306152,12.50542163848877,0.20075218379497528
40.0,0.875,0.0,Energy,20.0,None,0.0,9.535938262939453,144.52261352539062,0.4192292392253876,2.8284270763397217,96.96780395507812,srf,2.0,0.011664390563964844,gaussian,0.0,10.729562759399414,360.1376647949219,88.34967803955078,7.973658084869385,7.5888166427612305,0.469637393951416
40.0,0.875,0.0,Energy,20.0,None,0.0,10.556219100952148,170.28634643554688,0.45506513118743896,2.8284270763397217,96.96780395507812,srf,4.0,0.010151147842407227,gaussian,0.0,8.511627197265625,128.31710815429688,88.34967803955078,3.899304151535034,5.275993347167969,1.0901591777801514
40.0,0.875,0.0,Energy,20.0,None,0.0,11.628079414367676,208.1943359375,0.5031738877296448,2.8284270763397217,96.96780395507812,srf,8.0,0.016343116760253906,gaussian,0.0,11.847936630249023,82.66322326660156,88.34967803955078,4.08099889755249,5.357912540435791,2.284773588180542
40.0,0.875,0.0,Energy,20.0,None,0.0,10.11148738861084,162.0637664794922,0.4439423978328705,2.8284270763397217,96.96780395507812,srf,16.0,0.0184173583984375,gaussian,0.0,10.404400825500488,59.95053482055664,88.34967803955078,4.026252746582031,5.282119274139404,5.074830055236816
40.0,0.875,0.0,Energy,20.0,None,0.0,10.715925216674805,182.23898315429688,0.4707651734352112,2.8284270763397217,96.96780395507812,srf,32.0,0.01817464828491211,gaussian,0.0,10.439704895019531,36.38336944580078,88.34967803955078,3.246206760406494,5.6667561531066895,10.014994621276855
40.0,0.875,0.0,Energy,20.0,None,0.0,12.593266487121582,238.90724182128906,0.5390118956565857,2.8284270763397217,96.96780395507812,srf,64.0,0.012733936309814453,gaussian,0.0,12.37169361114502,25.2938232421875,88.34967803955078,3.704310417175293,6.229343891143799,19.334148406982422
