D,bias,comp,dataset,degree,feature_dist,hier,k_mean_error,k_mse,k_rel_frob_error,kernel_len,kernel_var,method,noise_var,pred_time,proj,seed,test_error,test_kl,test_label_var,test_mean_mse,test_mnll,test_var_mse
40.0,0.875,0.0,kin8nm,20.0,None,0.0,0.008244178257882595,0.00010583828407106921,0.9293861985206604,2.8284270763397217,0.06890399008989334,srf,3.0517578125e-05,0.021431446075439453,gaussian,0.0,0.03930273279547691,138565.65625,0.07114531844854355,0.03892982751131058,635.8167114257812,2.0985799764616786e-08
40.0,0.875,0.0,kin8nm,20.0,None,0.0,0.008275278843939304,0.00010801239113789052,0.9388832449913025,2.8284270763397217,0.06890399008989334,srf,6.103515625e-05,0.02048492431640625,gaussian,0.0,0.04343682527542114,116313.4140625,0.07114531844854355,0.04351675510406494,349.7524108886719,3.3232495866286627e-08
40.0,0.875,0.0,kin8nm,20.0,None,0.0,0.008231238462030888,0.00010496421600691974,0.9255405068397522,2.8284270763397217,0.06890399008989334,srf,0.0001220703125,0.023103952407836914,gaussian,0.0,0.0384117066860199,69534.296875,0.07114531844854355,0.0353219136595726,152.80868530273438,5.631395083582902e-08
40.0,0.875,0.0,kin8nm,20.0,None,0.0,0.008264146745204926,0.00010856255539692938,0.9412713646888733,2.8284270763397217,0.06890399008989334,srf,0.000244140625,0.015502691268920898,gaussian,0.0,0.03155672550201416,38899.1796875,0.07114531844854355,0.028043044731020927,61.00350570678711,1.0913717574112525e-07
40.0,0.875,0.0,kin8nm,20.0,None,0.0,0.008617602288722992,0.00011532181088114157,0.9701313376426697,2.8284270763397217,0.06890399008989334,srf,0.00048828125,0.017892837524414062,gaussian,0.0,0.041173145174980164,35021.796875,0.07114531844854355,0.03489747270941734,39.018096923828125,2.0354863750071672e-07
40.0,0.875,0.0,kin8nm,20.0,None,0.0,0.008279295638203621,0.00010698863479774445,0.9344232082366943,2.8284270763397217,0.06890399008989334,srf,0.0009765625,0.016579389572143555,gaussian,0.0,0.03958194702863693,21030.533203125,0.07114531844854355,0.03161697834730148,17.600013732910156,4.2757699247886194e-07
40.0,0.875,0.0,kin8nm,20.0,None,0.0,0.008128492161631584,0.0001039230264723301,0.9209386110305786,2.8284270763397217,0.06890399008989334,srf,0.001953125,0.022205114364624023,gaussian,0.0,0.035864245146512985,12705.9619140625,0.07114531844854355,0.027573605999350548,6.928132057189941,8.810135909698147e-07
40.0,0.875,0.0,kin8nm,20.0,None,0.0,0.008286572992801666,0.00010753270908026025,0.9367961287498474,2.8284270763397217,0.06890399008989334,srf,0.00390625,0.025120258331298828,gaussian,0.0,0.0430418960750103,10684.080078125,0.07114531844854355,0.03423086181282997,3.6256725788116455,1.8689194121179753e-06
40.0,0.875,0.0,kin8nm,20.0,None,0.0,0.008218023926019669,0.00010651139746187255,0.9323368668556213,2.8284270763397217,0.06890399008989334,srf,0.0078125,0.015381097793579102,gaussian,0.0,0.029572660103440285,4701.73193359375,0.07114531844854355,0.01972769945859909,0.37710148096084595,3.897679107467411e-06
40.0,0.875,0.0,kin8nm,20.0,None,0.0,0.008927296847105026,0.00012730946764349937,1.0193073749542236,2.8284270763397217,0.06890399008989334,srf,0.015625,0.015492677688598633,gaussian,0.0,0.04116912558674812,4550.15869140625,0.07114531844854355,0.028591403737664223,0.15193459391593933,8.103912477963604e-06
40.0,0.875,0.0,kin8nm,20.0,None,0.0,0.007995163090527058,9.97749375528656e-05,0.9023718237876892,2.8284270763397217,0.06890399008989334,srf,0.03125,0.020391225814819336,gaussian,0.0,0.04551811143755913,3302.132568359375,0.07114531844854355,0.029827378690242767,-0.08693230152130127,1.6642683476675302e-05
40.0,0.875,0.0,kin8nm,20.0,None,0.0,0.008136138319969177,0.00010428070527268574,0.9225221276283264,2.8284270763397217,0.06890399008989334,srf,0.0625,0.022696733474731445,gaussian,0.0,0.04048922657966614,2077.474609375,0.07114531844854355,0.024597687646746635,-0.14239820837974548,3.301339165773243e-05
40.0,0.875,0.0,kin8nm,20.0,None,0.0,0.008500589989125729,0.00011191242811037228,0.9556832313537598,2.8284270763397217,0.06890399008989334,srf,0.125,0.02445387840270996,gaussian,0.0,0.052706364542245865,1869.0455322265625,0.07114531844854355,0.032699596136808395,0.0917835608124733,6.219162605702877e-05
40.0,0.875,0.0,kin8nm,20.0,None,0.0,0.009056690149009228,0.00012785871513187885,1.0215038061141968,2.8284270763397217,0.06890399008989334,srf,0.25,0.01875615119934082,gaussian,0.0,0.04934173449873924,1110.0718994140625,0.07114531844854355,0.02416953071951866,0.32681846618652344,0.00011005129636032507
40.0,0.875,0.0,kin8nm,20.0,None,0.0,0.008306377567350864,0.00010833964915946126,0.9403045177459717,2.8284270763397217,0.06890399008989334,srf,0.5,0.03881335258483887,gaussian,0.0,0.04437495023012161,650.7985229492188,0.07114531844854355,0.016409676522016525,0.6192102432250977,0.0001814201968954876
40.0,0.875,0.0,kin8nm,20.0,None,0.0,0.008421978913247585,0.00011077088856836781,0.9507966041564941,2.8284270763397217,0.06890399008989334,srf,1.0,0.022797584533691406,gaussian,0.0,0.04492713883519173,404.7623291015625,0.07114531844854355,0.01267901249229908,0.943845808506012,0.0002610249794088304
