dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,hier,kernel_var,kernel_len,test_error,test_mnll,test_label_var,k_frob_error,k_rel_frob_error,k_spec_error,k_rel_spec_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
Letter,srf,7.0,0.5,gaussian,0.0,0.0,0.0,0.0,0.0,3.7109177112579346,1.4142135381698608,0.1290000081062317,0.43356287479400635,0.03698224946856499,466.5222473144531,0.5982845425605774,141.7255859375,0.3615942895412445,3059.62451171875,2.0576741695404053,0.4497833549976349,256.0,32768.0,None,0.001,0.0017855167388916016,0.04196953773498535,0.0
Letter,poly_sketch,7.0,0.5,gaussian,0.0,0.0,0.0,0.0,0.0,3.7109177112579346,1.4142135381698608,0.2290000170469284,0.7866283059120178,0.03698224946856499,1021.8622436523438,1.310472011566162,589.864013671875,1.5049608945846558,5470.361328125,3.324334144592285,0.598457396030426,256.0,32768.0,None,0.001,0.0043222904205322266,0.04195547103881836,0.0
Letter,poly_sketch,7.0,0.5,gaussian,0.0,1.0,0.0,0.0,0.0,3.7109177112579346,1.4142135381698608,0.17250001430511475,0.5570691227912903,0.03698224946856499,2150.458984375,2.757824182510376,1698.87548828125,4.334458351135254,4059.220458984375,2.621398448944092,0.514080822467804,256.0,32768.0,None,0.001,0.019533634185791016,0.04151606559753418,0.0
Letter,poly_sketch,7.0,0.5,rademacher,0.0,0.0,0.0,0.0,0.0,3.7109177112579346,1.4142135381698608,0.19750000536441803,0.683620810508728,0.03698224946856499,816.8013916015625,1.0474947690963745,400.8788757324219,1.0227900743484497,4322.14306640625,2.6746630668640137,0.5094547867774963,256.0,32768.0,None,0.001,0.003728628158569336,0.041649818420410156,0.0
Letter,poly_sketch,7.0,0.5,rademacher,0.0,1.0,0.0,0.0,0.0,3.7109177112579346,1.4142135381698608,0.14250001311302185,0.4821828305721283,0.03698224946856499,931.7939453125,1.1949652433395386,634.8596801757812,1.6197614669799805,3368.685791015625,2.2181918621063232,0.4537452161312103,256.0,32768.0,None,0.001,0.004958152770996094,0.04212474822998047,0.0
Letter,poly_sketch,7.0,0.5,srht,0.0,0.0,0.0,1.0,0.0,3.7109177112579346,1.4142135381698608,0.1835000067949295,0.615166425704956,0.03698224946856499,972.7788696289062,1.2475258111953735,518.24658203125,1.3222383260726929,4136.228515625,2.52292537689209,0.5145270824432373,256.0,32768.0,None,0.001,0.007079362869262695,0.04170513153076172,0.0
Letter,poly_sketch,7.0,0.5,srht,0.0,1.0,0.0,1.0,0.0,3.7109177112579346,1.4142135381698608,0.16300000250339508,0.4969298541545868,0.03698224946856499,682.6841430664062,0.8754981160163879,374.1331481933594,0.9545518159866333,3293.5556640625,2.1652824878692627,0.4695079028606415,256.0,32768.0,None,0.001,0.007002353668212891,0.041109561920166016,0.0
Letter,poly_sketch,7.0,0.5,countsketch_scatter,0.0,0.0,0.0,0.0,0.0,3.7109177112579346,1.4142135381698608,0.14800000190734863,0.48890864849090576,0.03698224946856499,747.232177734375,0.9582768082618713,448.7679748535156,1.144972801208496,3353.6533203125,2.23745059967041,0.46158984303474426,256.0,32768.0,None,0.001,0.009392261505126953,0.04104423522949219,0.0
Letter,poly_sketch,7.0,0.5,srht,0.0,0.0,1.0,1.0,0.0,3.7109177112579346,1.4142135381698608,0.1290000081062317,0.4231255054473877,0.03698224946856499,507.0186462402344,0.6502185463905334,177.03878784179688,0.45169129967689514,3229.7314453125,2.1791274547576904,0.44365713000297546,256.0,32768.0,None,0.001,0.4616076946258545,0.04512763023376465,0.0
Letter,poly_sketch,7.0,0.5,srht,0.0,1.0,1.0,1.0,0.0,3.7109177112579346,1.4142135381698608,0.1300000101327896,0.41417473554611206,0.03698224946856499,456.5231628417969,0.5854613184928894,120.61042022705078,0.30772170424461365,3112.109130859375,2.101235866546631,0.4457685351371765,256.0,32768.0,None,0.001,0.551307201385498,0.04354071617126465,0.0
