dataset,method,degree,bias,proj,comp,comp_real,craft,full_cov,ahle,tree,kernel_var,kernel_len,test_error,test_mnll,test_label_var,k_frob_error,k_rel_frob_error,test_kl,test_mean_mse,test_var_mse,D,E,feature_dist,noise_var,feature_time,pred_time,seed
FashionMNIST,srf,3,0.875,gaussian,False,False,False,False,False,False,9.030295372009277,2.8284270763397217,0.14729999005794525,0.4611354470252991,0.09000000357627869,940.6781616210938,0.030607571825385094,2675.93798828125,0.46518614888191223,0.007120753172785044,1024,10240,None,0.001,0.02041769027709961,0.1389172077178955,0
FashionMNIST,srf,3,0.875,srht,False,False,False,False,False,False,9.030295372009277,2.8284270763397217,0.14509999752044678,0.4600599408149719,0.09000000357627869,608.678466796875,0.019805042073130608,2371.988037109375,0.4150587320327759,0.003897437360137701,1024,10240,None,0.001,0.02582550048828125,0.13989901542663574,0
FashionMNIST,srf,3,0.875,srht,True,False,False,False,False,False,9.030295372009277,2.8284270763397217,0.15209999680519104,0.47801756858825684,0.09000000357627869,3936.973388671875,0.12810033559799194,11627.8388671875,1.8818974494934082,0.08178998529911041,1024,10240,None,0.001,0.030992746353149414,0.1370558738708496,0
FashionMNIST,maclaurin,3,0.875,rademacher,False,False,False,False,False,False,9.030295372009277,2.8284270763397217,0.16099999845027924,0.5013253092765808,0.09000000357627869,478.6146545410156,0.015573054552078247,3063.45166015625,0.48291802406311035,0.021359028294682503,1024,10240,"[879, 144]",0.001,0.024984359741210938,0.1387650966644287,0
FashionMNIST,maclaurin,3,0.875,rademacher,True,False,False,False,False,False,9.030295372009277,2.8284270763397217,0.16049998998641968,0.5040209889411926,0.09000000357627869,2153.8896484375,0.07008276879787445,3628.804443359375,0.4929685890674591,0.06261787563562393,1024,10240,"[885, 138]",0.001,0.07633399963378906,0.14020586013793945,0
FashionMNIST,maclaurin,3,0.875,srht,False,False,False,False,False,False,9.030295372009277,2.8284270763397217,0.1615999937057495,0.5035117864608765,0.09000000357627869,246.06610107421875,0.008006442338228226,2555.16259765625,0.4058995246887207,0.01173088327050209,1024,10240,"[879, 144]",0.001,0.02688121795654297,0.16878104209899902,0
FashionMNIST,maclaurin,3,0.875,srht,True,False,False,False,False,False,9.030295372009277,2.8284270763397217,0.17000000178813934,0.5198317170143127,0.09000000357627869,2032.2274169921875,0.06612415611743927,4949.955078125,0.6731548309326172,0.07240241765975952,1024,10240,"[885, 138]",0.001,0.057333946228027344,0.13954448699951172,0
FashionMNIST,poly_sketch,3,0.875,gaussian,False,False,False,False,False,False,9.030295372009277,2.8284270763397217,0.1509999930858612,0.46143752336502075,0.09000000357627869,2785.276611328125,0.09062669426202774,3435.70166015625,0.5431603193283081,0.038761649280786514,1024,10240,None,0.001,0.044045448303222656,0.13988876342773438,0
FashionMNIST,poly_sketch,3,0.875,gaussian,True,False,False,False,False,False,9.030295372009277,2.8284270763397217,0.14720000326633453,0.4619280993938446,0.09000000357627869,16763.84375,0.5454581379890442,3606.299560546875,0.49882054328918457,0.07002583891153336,1024,10240,None,0.001,0.1519637107849121,0.14049530029296875,0
FashionMNIST,poly_sketch,3,0.875,rademacher,False,False,False,False,False,False,9.030295372009277,2.8284270763397217,0.14710000157356262,0.4638710916042328,0.09000000357627869,1159.8408203125,0.03773863613605499,2141.953369140625,0.35587483644485474,0.013074667192995548,1024,10240,None,0.001,0.04281806945800781,0.13997650146484375,0
FashionMNIST,poly_sketch,3,0.875,rademacher,True,False,False,False,False,False,9.030295372009277,2.8284270763397217,0.14919999241828918,0.4631032645702362,0.09000000357627869,15081.33984375,0.4907132089138031,2811.66650390625,0.3895934224128723,0.05575048178434372,1024,10240,None,0.001,0.1461777687072754,0.14052724838256836,0
FashionMNIST,poly_sketch,3,0.875,rademacher,False,False,False,False,True,True,9.030295372009277,2.8284270763397217,0.15320000052452087,0.4706781208515167,0.09000000357627869,3037.0849609375,0.09881997853517532,4042.982421875,0.6380473375320435,0.04481565207242966,1024,10240,None,0.001,0.08304071426391602,0.13998794555664062,0
FashionMNIST,poly_sketch,3,0.875,rademacher,True,False,False,False,True,True,9.030295372009277,2.8284270763397217,0.15410000085830688,0.4728395938873291,0.09000000357627869,15852.490234375,0.5158047080039978,3737.314453125,0.5191636085510254,0.07010237127542496,1024,10240,None,0.001,0.29215049743652344,0.1394650936126709,0
FashionMNIST,poly_sketch,3,0.875,srht,False,False,False,False,False,False,9.030295372009277,2.8284270763397217,0.14589999616146088,0.45524924993515015,0.09000000357627869,544.6162719726562,0.017720600590109825,2008.6668701171875,0.33556967973709106,0.011815727688372135,1024,10240,None,0.001,0.024834632873535156,0.13879871368408203,0
FashionMNIST,poly_sketch,3,0.875,srht,True,False,False,False,False,False,9.030295372009277,2.8284270763397217,0.14980000257492065,0.46846336126327515,0.09000000357627869,2081.4697265625,0.06772638857364655,2841.0234375,0.3901822566986084,0.056260086596012115,1024,10240,None,0.001,0.05578923225402832,0.13805246353149414,0
FashionMNIST,poly_sketch,3,0.875,srht,False,False,False,False,True,True,9.030295372009277,2.8284270763397217,0.14509999752044678,0.4557918906211853,0.09000000357627869,1856.7572021484375,0.060414742678403854,2355.394287109375,0.38980576395988464,0.020093144848942757,1024,10240,None,0.001,0.04637432098388672,0.14113807678222656,0
FashionMNIST,poly_sketch,3,0.875,srht,True,False,False,False,True,True,9.030295372009277,2.8284270763397217,0.14800000190734863,0.46148476004600525,0.09000000357627869,14817.732421875,0.4821360111236572,3025.126220703125,0.4234044551849365,0.059929851442575455,1024,10240,None,0.001,0.10693097114562988,0.13991832733154297,0
